,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2021-12-06,1 wk ahead inc case,2021-12-11,51,quantile,0.025,21691.400732421876,19345.0
1,2021-12-06,1 wk ahead inc case,2021-12-11,51,point,NA,42101.619140625,19345.0
2,2021-12-06,1 wk ahead inc case,2021-12-11,51,quantile,0.1,25634.32421875,19345.0
4,2021-12-06,1 wk ahead inc case,2021-12-11,51,quantile,0.25,31462.3642578125,19345.0
6,2021-12-06,1 wk ahead inc case,2021-12-11,51,quantile,0.5,42101.619140625,19345.0
8,2021-12-06,1 wk ahead inc case,2021-12-11,51,quantile,0.75,48485.49609375,19345.0
10,2021-12-06,1 wk ahead inc case,2021-12-11,51,quantile,0.9,48485.49609375,19345.0
12,2021-12-06,1 wk ahead inc case,2021-12-11,51,quantile,0.975,48485.49609375,19345.0
14,2021-12-06,2 wk ahead inc case,2021-12-18,51,quantile,0.025,28701.14375,35983.0
15,2021-12-06,2 wk ahead inc case,2021-12-18,51,point,NA,45547.802734375,35983.0
16,2021-12-06,2 wk ahead inc case,2021-12-18,51,quantile,0.1,34603.8375,35983.0
18,2021-12-06,2 wk ahead inc case,2021-12-18,51,quantile,0.25,40351.69921875,35983.0
20,2021-12-06,2 wk ahead inc case,2021-12-18,51,quantile,0.5,45547.802734375,35983.0
22,2021-12-06,2 wk ahead inc case,2021-12-18,51,quantile,0.75,53842.2109375,35983.0
24,2021-12-06,2 wk ahead inc case,2021-12-18,51,quantile,0.9,55991.13085937501,35983.0
26,2021-12-06,2 wk ahead inc case,2021-12-18,51,quantile,0.975,58490.93359375,35983.0
28,2021-12-06,3 wk ahead inc case,2021-12-25,51,quantile,0.025,23467.524072265624,69029.0
29,2021-12-06,3 wk ahead inc case,2021-12-25,51,point,NA,48054.83203125,69029.0
30,2021-12-06,3 wk ahead inc case,2021-12-25,51,quantile,0.1,35069.977734375,69029.0
32,2021-12-06,3 wk ahead inc case,2021-12-25,51,quantile,0.25,40496.5810546875,69029.0
34,2021-12-06,3 wk ahead inc case,2021-12-25,51,quantile,0.5,48054.83203125,69029.0
36,2021-12-06,3 wk ahead inc case,2021-12-25,51,quantile,0.75,52368.0205078125,69029.0
