,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2020-10-19,1 wk ahead inc case,2020-10-24,51,quantile,0.025,5228.437292480468,8864.0
1,2020-10-19,1 wk ahead inc case,2020-10-24,51,point,NA,8196.31005859375,8864.0
2,2020-10-19,1 wk ahead inc case,2020-10-24,51,quantile,0.1,6841.46572265625,8864.0
4,2020-10-19,1 wk ahead inc case,2020-10-24,51,quantile,0.25,7004.01806640625,8864.0
6,2020-10-19,1 wk ahead inc case,2020-10-24,51,quantile,0.5,8196.31005859375,8864.0
8,2020-10-19,1 wk ahead inc case,2020-10-24,51,quantile,0.75,8463.08203125,8864.0
10,2020-10-19,1 wk ahead inc case,2020-10-24,51,quantile,0.9,8515.6708984375,8864.0
12,2020-10-19,1 wk ahead inc case,2020-10-24,51,quantile,0.975,8515.6708984375,8864.0
14,2020-10-19,2 wk ahead inc case,2020-10-31,51,quantile,0.025,6568.415686035156,9715.0
15,2020-10-19,2 wk ahead inc case,2020-10-31,51,point,NA,8360.369140625,9715.0
16,2020-10-19,2 wk ahead inc case,2020-10-31,51,quantile,0.1,6862.160009765625,9715.0
18,2020-10-19,2 wk ahead inc case,2020-10-31,51,quantile,0.25,7096.0166015625,9715.0
20,2020-10-19,2 wk ahead inc case,2020-10-31,51,quantile,0.5,8360.369140625,9715.0
22,2020-10-19,2 wk ahead inc case,2020-10-31,51,quantile,0.75,8583.0615234375,9715.0
24,2020-10-19,2 wk ahead inc case,2020-10-31,51,quantile,0.9,8650.4291015625,9715.0
26,2020-10-19,2 wk ahead inc case,2020-10-31,51,quantile,0.975,8693.752197265625,9715.0
28,2020-10-19,3 wk ahead inc case,2020-11-07,51,quantile,0.025,6901.856494140625,9954.0
29,2020-10-19,3 wk ahead inc case,2020-11-07,51,point,NA,8561.72021484375,9954.0
30,2020-10-19,3 wk ahead inc case,2020-11-07,51,quantile,0.1,7141.076318359375,9954.0
32,2020-10-19,3 wk ahead inc case,2020-11-07,51,quantile,0.25,8289.39306640625,9954.0
34,2020-10-19,3 wk ahead inc case,2020-11-07,51,quantile,0.5,8561.72021484375,9954.0
36,2020-10-19,3 wk ahead inc case,2020-11-07,51,quantile,0.75,8738.25341796875,9954.0
38,2020-10-19,3 wk ahead inc case,2020-11-07,51,quantile,0.9,8833.5736328125,9954.0
40,2020-10-19,3 wk ahead inc case,2020-11-07,51,quantile,0.975,8865.361328125,9954.0
42,2020-10-19,4 wk ahead inc case,2020-11-14,51,quantile,0.025,5770.4168701171875,14906.0
43,2020-10-19,4 wk ahead inc case,2020-11-14,51,point,NA,8545.08251953125,14906.0
44,2020-10-19,4 wk ahead inc case,2020-11-14,51,quantile,0.1,6752.20830078125,14906.0
46,2020-10-19,4 wk ahead inc case,2020-11-14,51,quantile,0.25,7169.6182861328125,14906.0
48,2020-10-19,4 wk ahead inc case,2020-11-14,51,quantile,0.5,8545.08251953125,14906.0
50,2020-10-19,4 wk ahead inc case,2020-11-14,51,quantile,0.75,8847.55078125,14906.0
52,2020-10-19,4 wk ahead inc case,2020-11-14,51,quantile,0.9,8938.6447265625,14906.0
54,2020-10-19,4 wk ahead inc case,2020-11-14,51,quantile,0.975,9004.476708984375,14906.0
56,2020-10-19,1 wk ahead inc case,2020-10-24,45,quantile,0.025,6440.3380126953125,7288.0
57,2020-10-19,1 wk ahead inc case,2020-10-24,45,point,NA,7109.629150390625,7288.0
58,2020-10-19,1 wk ahead inc case,2020-10-24,45,quantile,0.1,6592.608056640625,7288.0
60,2020-10-19,1 wk ahead inc case,2020-10-24,45,quantile,0.25,6876.3876953125,7288.0
62,2020-10-19,1 wk ahead inc case,2020-10-24,45,quantile,0.5,7109.629150390625,7288.0
64,2020-10-19,1 wk ahead inc case,2020-10-24,45,quantile,0.75,7199.7998046875,7288.0
66,2020-10-19,1 wk ahead inc case,2020-10-24,45,quantile,0.9,7409.00732421875,7288.0
68,2020-10-19,1 wk ahead inc case,2020-10-24,45,quantile,0.975,7409.00732421875,7288.0
70,2020-10-19,2 wk ahead inc case,2020-10-31,45,quantile,0.025,6443.535595703125,8138.0
71,2020-10-19,2 wk ahead inc case,2020-10-31,45,point,NA,7039.10693359375,8138.0
72,2020-10-19,2 wk ahead inc case,2020-10-31,45,quantile,0.1,6623.100244140625,8138.0
74,2020-10-19,2 wk ahead inc case,2020-10-31,45,quantile,0.25,6795.515625,8138.0
76,2020-10-19,2 wk ahead inc case,2020-10-31,45,quantile,0.5,7039.10693359375,8138.0
78,2020-10-19,2 wk ahead inc case,2020-10-31,45,quantile,0.75,7155.89404296875,8138.0
80,2020-10-19,2 wk ahead inc case,2020-10-31,45,quantile,0.9,7305.58486328125,8138.0
82,2020-10-19,2 wk ahead inc case,2020-10-31,45,quantile,0.975,7322.058618164063,8138.0
84,2020-10-19,3 wk ahead inc case,2020-11-07,45,quantile,0.025,6284.403100585938,9291.0
85,2020-10-19,3 wk ahead inc case,2020-11-07,45,point,NA,7044.355712890625,9291.0
86,2020-10-19,3 wk ahead inc case,2020-11-07,45,quantile,0.1,6603.732373046875,9291.0
88,2020-10-19,3 wk ahead inc case,2020-11-07,45,quantile,0.25,6798.1884765625,9291.0
90,2020-10-19,3 wk ahead inc case,2020-11-07,45,quantile,0.5,7044.355712890625,9291.0
92,2020-10-19,3 wk ahead inc case,2020-11-07,45,quantile,0.75,7177.918212890625,9291.0
94,2020-10-19,3 wk ahead inc case,2020-11-07,45,quantile,0.9,7291.665673828125,9291.0
96,2020-10-19,3 wk ahead inc case,2020-11-07,45,quantile,0.975,7298.208251953125,9291.0
98,2020-10-19,4 wk ahead inc case,2020-11-14,45,quantile,0.025,6370.304089355469,11013.0
99,2020-10-19,4 wk ahead inc case,2020-11-14,45,point,NA,6904.09228515625,11013.0
100,2020-10-19,4 wk ahead inc case,2020-11-14,45,quantile,0.1,6491.2078125,11013.0
102,2020-10-19,4 wk ahead inc case,2020-11-14,45,quantile,0.25,6669.4088134765625,11013.0
104,2020-10-19,4 wk ahead inc case,2020-11-14,45,quantile,0.5,6904.09228515625,11013.0
106,2020-10-19,4 wk ahead inc case,2020-11-14,45,quantile,0.75,7011.7117919921875,11013.0
108,2020-10-19,4 wk ahead inc case,2020-11-14,45,quantile,0.9,7158.244775390625,11013.0
