,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2021-10-18,1 wk ahead inc case,2021-10-23,51,quantile,0.025,3522.5745239257812,10030.0
1,2021-10-18,1 wk ahead inc case,2021-10-23,51,point,NA,5754.12353515625,10030.0
2,2021-10-18,1 wk ahead inc case,2021-10-23,51,quantile,0.1,4752.598681640625,10030.0
4,2021-10-18,1 wk ahead inc case,2021-10-23,51,quantile,0.25,5461.541015625,10030.0
6,2021-10-18,1 wk ahead inc case,2021-10-23,51,quantile,0.5,5754.12353515625,10030.0
8,2021-10-18,1 wk ahead inc case,2021-10-23,51,quantile,0.75,7502.55029296875,10030.0
10,2021-10-18,1 wk ahead inc case,2021-10-23,51,quantile,0.9,7502.55029296875,10030.0
12,2021-10-18,1 wk ahead inc case,2021-10-23,51,quantile,0.975,7933.556640625,10030.0
14,2021-10-18,2 wk ahead inc case,2021-10-30,51,quantile,0.025,4199.750915527344,9070.0
15,2021-10-18,2 wk ahead inc case,2021-10-30,51,point,NA,6356.509765625,9070.0
16,2021-10-18,2 wk ahead inc case,2021-10-30,51,quantile,0.1,4598.2484375,9070.0
18,2021-10-18,2 wk ahead inc case,2021-10-30,51,quantile,0.25,5027.2628173828125,9070.0
20,2021-10-18,2 wk ahead inc case,2021-10-30,51,quantile,0.5,6356.509765625,9070.0
22,2021-10-18,2 wk ahead inc case,2021-10-30,51,quantile,0.75,6672.5439453125,9070.0
24,2021-10-18,2 wk ahead inc case,2021-10-30,51,quantile,0.9,6826.780859375001,9070.0
26,2021-10-18,2 wk ahead inc case,2021-10-30,51,quantile,0.975,7066.982421875,9070.0
28,2021-10-18,3 wk ahead inc case,2021-11-06,51,quantile,0.025,2917.142010498047,9515.0
29,2021-10-18,3 wk ahead inc case,2021-11-06,51,point,NA,5307.21826171875,9515.0
30,2021-10-18,3 wk ahead inc case,2021-11-06,51,quantile,0.1,3961.0607177734373,9515.0
32,2021-10-18,3 wk ahead inc case,2021-11-06,51,quantile,0.25,4287.3740234375,9515.0
34,2021-10-18,3 wk ahead inc case,2021-11-06,51,quantile,0.5,5307.21826171875,9515.0
36,2021-10-18,3 wk ahead inc case,2021-11-06,51,quantile,0.75,5706.9862060546875,9515.0
38,2021-10-18,3 wk ahead inc case,2021-11-06,51,quantile,0.9,6082.652685546875,9515.0
40,2021-10-18,3 wk ahead inc case,2021-11-06,51,quantile,0.975,6368.352844238281,9515.0
42,2021-10-18,4 wk ahead inc case,2021-11-13,51,quantile,0.025,3362.327111816406,10659.0
43,2021-10-18,4 wk ahead inc case,2021-11-13,51,point,NA,4912.686767578125,10659.0
