,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2021-09-20,1 wk ahead inc case,2021-09-25,51,quantile,0.025,8624.7708984375,19500.0
1,2021-09-20,1 wk ahead inc case,2021-09-25,51,point,NA,17040.8671875,19500.0
2,2021-09-20,1 wk ahead inc case,2021-09-25,51,quantile,0.1,11145.7591796875,19500.0
4,2021-09-20,1 wk ahead inc case,2021-09-25,51,quantile,0.25,14767.578125,19500.0
6,2021-09-20,1 wk ahead inc case,2021-09-25,51,quantile,0.5,17040.8671875,19500.0
8,2021-09-20,1 wk ahead inc case,2021-09-25,51,quantile,0.75,18304.279296875,19500.0
10,2021-09-20,1 wk ahead inc case,2021-09-25,51,quantile,0.9,18636.49453125,19500.0
12,2021-09-20,1 wk ahead inc case,2021-09-25,51,quantile,0.975,19672.574853515624,19500.0
14,2021-09-20,2 wk ahead inc case,2021-10-02,51,quantile,0.025,7717.347961425781,18849.0
15,2021-09-20,2 wk ahead inc case,2021-10-02,51,point,NA,13138.42041015625,18849.0
16,2021-09-20,2 wk ahead inc case,2021-10-02,51,quantile,0.1,9004.98935546875,18849.0
18,2021-09-20,2 wk ahead inc case,2021-10-02,51,quantile,0.25,10628.934814453125,18849.0
20,2021-09-20,2 wk ahead inc case,2021-10-02,51,quantile,0.5,13138.42041015625,18849.0
22,2021-09-20,2 wk ahead inc case,2021-10-02,51,quantile,0.75,15616.176025390625,18849.0
24,2021-09-20,2 wk ahead inc case,2021-10-02,51,quantile,0.9,16950.299609375,18849.0
26,2021-09-20,2 wk ahead inc case,2021-10-02,51,quantile,0.975,17702.78125,18849.0
28,2021-09-20,3 wk ahead inc case,2021-10-09,51,quantile,0.025,6180.135302734375,14901.0
29,2021-09-20,3 wk ahead inc case,2021-10-09,51,point,NA,11239.5458984375,14901.0
30,2021-09-20,3 wk ahead inc case,2021-10-09,51,quantile,0.1,7956.8380859375,14901.0
32,2021-09-20,3 wk ahead inc case,2021-10-09,51,quantile,0.25,9052.34912109375,14901.0
34,2021-09-20,3 wk ahead inc case,2021-10-09,51,quantile,0.5,11239.5458984375,14901.0
36,2021-09-20,3 wk ahead inc case,2021-10-09,51,quantile,0.75,13447.29248046875,14901.0
38,2021-09-20,3 wk ahead inc case,2021-10-09,51,quantile,0.9,14002.7361328125,14901.0
40,2021-09-20,3 wk ahead inc case,2021-10-09,51,quantile,0.975,15277.244873046873,14901.0
42,2021-09-20,4 wk ahead inc case,2021-10-16,51,quantile,0.025,3831.166827392578,11845.0
43,2021-09-20,4 wk ahead inc case,2021-10-16,51,point,NA,8775.9697265625,11845.0
44,2021-09-20,4 wk ahead inc case,2021-10-16,51,quantile,0.1,5440.473486328126,11845.0
