,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2020-11-02,1 wk ahead inc case,2020-11-07,51,quantile,0.025,5706.154113769531,9954.0
1,2020-11-02,1 wk ahead inc case,2020-11-07,51,point,NA,11064.87109375,9954.0
2,2020-11-02,1 wk ahead inc case,2020-11-07,51,quantile,0.1,5867.3515625,9954.0
4,2020-11-02,1 wk ahead inc case,2020-11-07,51,quantile,0.25,7017.26025390625,9954.0
6,2020-11-02,1 wk ahead inc case,2020-11-07,51,quantile,0.5,11064.87109375,9954.0
8,2020-11-02,1 wk ahead inc case,2020-11-07,51,quantile,0.75,11297.3974609375,9954.0
10,2020-11-02,1 wk ahead inc case,2020-11-07,51,quantile,0.9,11297.3974609375,9954.0
12,2020-11-02,1 wk ahead inc case,2020-11-07,51,quantile,0.975,11297.3974609375,9954.0
14,2020-11-02,2 wk ahead inc case,2020-11-14,51,quantile,0.025,5312.3935546875,14906.0
15,2020-11-02,2 wk ahead inc case,2020-11-14,51,point,NA,11131.17333984375,14906.0
16,2020-11-02,2 wk ahead inc case,2020-11-14,51,quantile,0.1,5859.359228515625,14906.0
18,2020-11-02,2 wk ahead inc case,2020-11-14,51,quantile,0.25,10912.823486328125,14906.0
20,2020-11-02,2 wk ahead inc case,2020-11-14,51,quantile,0.5,11131.17333984375,14906.0
22,2020-11-02,2 wk ahead inc case,2020-11-14,51,quantile,0.75,11488.705078125,14906.0
24,2020-11-02,2 wk ahead inc case,2020-11-14,51,quantile,0.9,11552.6103515625,14906.0
26,2020-11-02,2 wk ahead inc case,2020-11-14,51,quantile,0.975,11582.282104492188,14906.0
28,2020-11-02,3 wk ahead inc case,2020-11-21,51,quantile,0.025,5144.363940429687,17945.0
29,2020-11-02,3 wk ahead inc case,2020-11-21,51,point,NA,11267.833984375,17945.0
30,2020-11-02,3 wk ahead inc case,2020-11-21,51,quantile,0.1,5683.87734375,17945.0
32,2020-11-02,3 wk ahead inc case,2020-11-21,51,quantile,0.25,10765.525146484375,17945.0
34,2020-11-02,3 wk ahead inc case,2020-11-21,51,quantile,0.5,11267.833984375,17945.0
36,2020-11-02,3 wk ahead inc case,2020-11-21,51,quantile,0.75,11738.3076171875,17945.0
38,2020-11-02,3 wk ahead inc case,2020-11-21,51,quantile,0.9,11818.9810546875,17945.0
40,2020-11-02,3 wk ahead inc case,2020-11-21,51,quantile,0.975,11840.743359375,17945.0
42,2020-11-02,4 wk ahead inc case,2020-11-28,51,quantile,0.025,5230.725280761719,17570.0
43,2020-11-02,4 wk ahead inc case,2020-11-28,51,point,NA,11567.46435546875,17570.0
