,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2021-10-11,1 wk ahead inc case,2021-10-16,51,quantile,0.025,3294.3363891601566,11845.0
1,2021-10-11,1 wk ahead inc case,2021-10-16,51,point,NA,6893.564697265625,11845.0
2,2021-10-11,1 wk ahead inc case,2021-10-16,51,quantile,0.1,5528.363232421875,11845.0
4,2021-10-11,1 wk ahead inc case,2021-10-16,51,quantile,0.25,6278.17431640625,11845.0
6,2021-10-11,1 wk ahead inc case,2021-10-16,51,quantile,0.5,6893.564697265625,11845.0
8,2021-10-11,1 wk ahead inc case,2021-10-16,51,quantile,0.75,8118.103271484375,11845.0
10,2021-10-11,1 wk ahead inc case,2021-10-16,51,quantile,0.9,8588.11953125,11845.0
12,2021-10-11,1 wk ahead inc case,2021-10-16,51,quantile,0.975,9517.500073242187,11845.0
14,2021-10-11,2 wk ahead inc case,2021-10-23,51,quantile,0.025,3718.3320861816405,10030.0
15,2021-10-11,2 wk ahead inc case,2021-10-23,51,point,NA,6425.96728515625,10030.0
16,2021-10-11,2 wk ahead inc case,2021-10-23,51,quantile,0.1,4717.925537109375,10030.0
18,2021-10-11,2 wk ahead inc case,2021-10-23,51,quantile,0.25,5328.48583984375,10030.0
20,2021-10-11,2 wk ahead inc case,2021-10-23,51,quantile,0.5,6425.96728515625,10030.0
22,2021-10-11,2 wk ahead inc case,2021-10-23,51,quantile,0.75,7103.7138671875,10030.0
24,2021-10-11,2 wk ahead inc case,2021-10-23,51,quantile,0.9,8037.89931640625,10030.0
26,2021-10-11,2 wk ahead inc case,2021-10-23,51,quantile,0.975,9053.119848632812,10030.0
28,2021-10-11,3 wk ahead inc case,2021-10-30,51,quantile,0.025,3239.721612548828,9070.0
29,2021-10-11,3 wk ahead inc case,2021-10-30,51,point,NA,4634.216552734375,9070.0
30,2021-10-11,3 wk ahead inc case,2021-10-30,51,quantile,0.1,3495.196142578125,9070.0
32,2021-10-11,3 wk ahead inc case,2021-10-30,51,quantile,0.25,4097.684814453125,9070.0
34,2021-10-11,3 wk ahead inc case,2021-10-30,51,quantile,0.5,4634.216552734375,9070.0
36,2021-10-11,3 wk ahead inc case,2021-10-30,51,quantile,0.75,5798.8319091796875,9070.0
38,2021-10-11,3 wk ahead inc case,2021-10-30,51,quantile,0.9,6406.204443359376,9070.0
40,2021-10-11,3 wk ahead inc case,2021-10-30,51,quantile,0.975,7462.190515136718,9070.0
42,2021-10-11,4 wk ahead inc case,2021-11-06,51,quantile,0.025,1774.107614135742,9515.0
43,2021-10-11,4 wk ahead inc case,2021-11-06,51,point,NA,4595.334716796875,9515.0
44,2021-10-11,4 wk ahead inc case,2021-11-06,51,quantile,0.1,2794.9267578125,9515.0
46,2021-10-11,4 wk ahead inc case,2021-11-06,51,quantile,0.25,3283.93017578125,9515.0
48,2021-10-11,4 wk ahead inc case,2021-11-06,51,quantile,0.5,4595.334716796875,9515.0
50,2021-10-11,4 wk ahead inc case,2021-11-06,51,quantile,0.75,5431.90771484375,9515.0
52,2021-10-11,4 wk ahead inc case,2021-11-06,51,quantile,0.9,6242.114111328125,9515.0
54,2021-10-11,4 wk ahead inc case,2021-11-06,51,quantile,0.975,6743.455920410156,9515.0
56,2021-10-11,1 wk ahead inc case,2021-10-16,45,quantile,0.025,-461.8113098144531,7094.0
57,2021-10-11,1 wk ahead inc case,2021-10-16,45,point,NA,3113.3818359375,7094.0
58,2021-10-11,1 wk ahead inc case,2021-10-16,45,quantile,0.1,966.9263305664062,7094.0
60,2021-10-11,1 wk ahead inc case,2021-10-16,45,quantile,0.25,2999.23291015625,7094.0
62,2021-10-11,1 wk ahead inc case,2021-10-16,45,quantile,0.5,3113.3818359375,7094.0
64,2021-10-11,1 wk ahead inc case,2021-10-16,45,quantile,0.75,4175.6055908203125,7094.0
66,2021-10-11,1 wk ahead inc case,2021-10-16,45,quantile,0.9,5253.9039062500015,7094.0
68,2021-10-11,1 wk ahead inc case,2021-10-16,45,quantile,0.975,6561.98681640625,7094.0
70,2021-10-11,2 wk ahead inc case,2021-10-23,45,quantile,0.025,-878.458984375,6082.0
