,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2021-05-10,1 wk ahead inc case,2021-05-15,51,quantile,0.025,3329.168621826172,3007.0
1,2021-05-10,1 wk ahead inc case,2021-05-15,51,point,NA,4979.877197265625,3007.0
2,2021-05-10,1 wk ahead inc case,2021-05-15,51,quantile,0.1,3404.422265625,3007.0
4,2021-05-10,1 wk ahead inc case,2021-05-15,51,quantile,0.25,4411.8619384765625,3007.0
6,2021-05-10,1 wk ahead inc case,2021-05-15,51,quantile,0.5,4979.877197265625,3007.0
8,2021-05-10,1 wk ahead inc case,2021-05-15,51,quantile,0.75,5075.60791015625,3007.0
10,2021-05-10,1 wk ahead inc case,2021-05-15,51,quantile,0.9,5150.89736328125,3007.0
12,2021-05-10,1 wk ahead inc case,2021-05-15,51,quantile,0.975,5525.290844726563,3007.0
14,2021-05-10,2 wk ahead inc case,2021-05-22,51,quantile,0.025,3072.7019897460937,2643.0
15,2021-05-10,2 wk ahead inc case,2021-05-22,51,point,NA,5045.3427734375,2643.0
16,2021-05-10,2 wk ahead inc case,2021-05-22,51,quantile,0.1,3332.8935302734376,2643.0
18,2021-05-10,2 wk ahead inc case,2021-05-22,51,quantile,0.25,4342.3408203125,2643.0
20,2021-05-10,2 wk ahead inc case,2021-05-22,51,quantile,0.5,5045.3427734375,2643.0
22,2021-05-10,2 wk ahead inc case,2021-05-22,51,quantile,0.75,5092.13671875,2643.0
24,2021-05-10,2 wk ahead inc case,2021-05-22,51,quantile,0.9,5187.586328125,2643.0
26,2021-05-10,2 wk ahead inc case,2021-05-22,51,quantile,0.975,5428.405944824219,2643.0
28,2021-05-10,3 wk ahead inc case,2021-05-29,51,quantile,0.025,3370.6864318847656,1663.0
29,2021-05-10,3 wk ahead inc case,2021-05-29,51,point,NA,4741.16455078125,1663.0
30,2021-05-10,3 wk ahead inc case,2021-05-29,51,quantile,0.1,3632.7680419921876,1663.0
32,2021-05-10,3 wk ahead inc case,2021-05-29,51,quantile,0.25,4252.4129638671875,1663.0
34,2021-05-10,3 wk ahead inc case,2021-05-29,51,quantile,0.5,4741.16455078125,1663.0
36,2021-05-10,3 wk ahead inc case,2021-05-29,51,quantile,0.75,5083.024658203125,1663.0
38,2021-05-10,3 wk ahead inc case,2021-05-29,51,quantile,0.9,5154.69384765625,1663.0
40,2021-05-10,3 wk ahead inc case,2021-05-29,51,quantile,0.975,5352.269909667969,1663.0
42,2021-05-10,4 wk ahead inc case,2021-06-05,51,quantile,0.025,2712.2338317871095,1307.0
43,2021-05-10,4 wk ahead inc case,2021-06-05,51,point,NA,4632.8662109375,1307.0
44,2021-05-10,4 wk ahead inc case,2021-06-05,51,quantile,0.1,3597.3960693359377,1307.0
46,2021-05-10,4 wk ahead inc case,2021-06-05,51,quantile,0.25,4269.0994873046875,1307.0
48,2021-05-10,4 wk ahead inc case,2021-06-05,51,quantile,0.5,4632.8662109375,1307.0
50,2021-05-10,4 wk ahead inc case,2021-06-05,51,quantile,0.75,5030.06591796875,1307.0
52,2021-05-10,4 wk ahead inc case,2021-06-05,51,quantile,0.9,5165.196923828125,1307.0
54,2021-05-10,4 wk ahead inc case,2021-06-05,51,quantile,0.975,5371.901135253906,1307.0
56,2021-05-10,1 wk ahead inc case,2021-05-15,45,quantile,0.025,1968.2771362304688,2537.0
57,2021-05-10,1 wk ahead inc case,2021-05-15,45,point,NA,3573.09912109375,2537.0
58,2021-05-10,1 wk ahead inc case,2021-05-15,45,quantile,0.1,2531.556640625,2537.0
60,2021-05-10,1 wk ahead inc case,2021-05-15,45,quantile,0.25,2775.867919921875,2537.0
62,2021-05-10,1 wk ahead inc case,2021-05-15,45,quantile,0.5,3573.09912109375,2537.0
