,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2021-11-08,1 wk ahead inc case,2021-11-13,51,quantile,0.025,4820.946740722657,10659.0
1,2021-11-08,1 wk ahead inc case,2021-11-13,51,point,NA,9672.625,10659.0
2,2021-11-08,1 wk ahead inc case,2021-11-13,51,quantile,0.1,6564.099853515625,10659.0
4,2021-11-08,1 wk ahead inc case,2021-11-13,51,quantile,0.25,8015.427734375,10659.0
6,2021-11-08,1 wk ahead inc case,2021-11-13,51,quantile,0.5,9672.625,10659.0
8,2021-11-08,1 wk ahead inc case,2021-11-13,51,quantile,0.75,10734.28369140625,10659.0
10,2021-11-08,1 wk ahead inc case,2021-11-13,51,quantile,0.9,11140.423046875001,10659.0
12,2021-11-08,1 wk ahead inc case,2021-11-13,51,quantile,0.975,12271.275390625,10659.0
14,2021-11-08,2 wk ahead inc case,2021-11-20,51,quantile,0.025,5378.948022460938,10315.0
15,2021-11-08,2 wk ahead inc case,2021-11-20,51,point,NA,9809.3642578125,10315.0
16,2021-11-08,2 wk ahead inc case,2021-11-20,51,quantile,0.1,6452.463720703126,10315.0
18,2021-11-08,2 wk ahead inc case,2021-11-20,51,quantile,0.25,8349.768310546875,10315.0
20,2021-11-08,2 wk ahead inc case,2021-11-20,51,quantile,0.5,9809.3642578125,10315.0
22,2021-11-08,2 wk ahead inc case,2021-11-20,51,quantile,0.75,10925.173095703125,10315.0
24,2021-11-08,2 wk ahead inc case,2021-11-20,51,quantile,0.9,11543.11484375,10315.0
26,2021-11-08,2 wk ahead inc case,2021-11-20,51,quantile,0.975,11764.245532226563,10315.0
28,2021-11-08,3 wk ahead inc case,2021-11-27,51,quantile,0.025,6407.546337890625,12870.0
29,2021-11-08,3 wk ahead inc case,2021-11-27,51,point,NA,10087.41845703125,12870.0
30,2021-11-08,3 wk ahead inc case,2021-11-27,51,quantile,0.1,7432.960888671875,12870.0
32,2021-11-08,3 wk ahead inc case,2021-11-27,51,quantile,0.25,8526.798828125,12870.0
34,2021-11-08,3 wk ahead inc case,2021-11-27,51,quantile,0.5,10087.41845703125,12870.0
36,2021-11-08,3 wk ahead inc case,2021-11-27,51,quantile,0.75,11251.826416015625,12870.0
38,2021-11-08,3 wk ahead inc case,2021-11-27,51,quantile,0.9,12183.60380859375,12870.0
40,2021-11-08,3 wk ahead inc case,2021-11-27,51,quantile,0.975,12669.53271484375,12870.0
42,2021-11-08,4 wk ahead inc case,2021-12-04,51,quantile,0.025,3962.4384826660157,17480.0
43,2021-11-08,4 wk ahead inc case,2021-12-04,51,point,NA,10041.26416015625,17480.0
44,2021-11-08,4 wk ahead inc case,2021-12-04,51,quantile,0.1,6434.01435546875,17480.0
46,2021-11-08,4 wk ahead inc case,2021-12-04,51,quantile,0.25,8212.790283203125,17480.0
48,2021-11-08,4 wk ahead inc case,2021-12-04,51,quantile,0.5,10041.26416015625,17480.0
50,2021-11-08,4 wk ahead inc case,2021-12-04,51,quantile,0.75,11341.431640625,17480.0
52,2021-11-08,4 wk ahead inc case,2021-12-04,51,quantile,0.9,13224.47724609375,17480.0
54,2021-11-08,4 wk ahead inc case,2021-12-04,51,quantile,0.975,13710.848583984374,17480.0
56,2021-11-08,1 wk ahead inc case,2021-11-13,45,quantile,0.025,2778.28857421875,4682.0
57,2021-11-08,1 wk ahead inc case,2021-11-13,45,point,NA,3988.52392578125,4682.0
58,2021-11-08,1 wk ahead inc case,2021-11-13,45,quantile,0.1,3153.4020751953126,4682.0
60,2021-11-08,1 wk ahead inc case,2021-11-13,45,quantile,0.25,3868.57080078125,4682.0
62,2021-11-08,1 wk ahead inc case,2021-11-13,45,quantile,0.5,3988.52392578125,4682.0
