,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2021-08-09,1 wk ahead inc case,2021-08-14,51,quantile,0.025,12664.805078125,16258.0
1,2021-08-09,1 wk ahead inc case,2021-08-14,51,point,NA,23194.720703125,16258.0
2,2021-08-09,1 wk ahead inc case,2021-08-14,51,quantile,0.1,17247.8958984375,16258.0
4,2021-08-09,1 wk ahead inc case,2021-08-14,51,quantile,0.25,21825.14599609375,16258.0
6,2021-08-09,1 wk ahead inc case,2021-08-14,51,quantile,0.5,23194.720703125,16258.0
8,2021-08-09,1 wk ahead inc case,2021-08-14,51,quantile,0.75,27477.71875,16258.0
10,2021-08-09,1 wk ahead inc case,2021-08-14,51,quantile,0.9,27477.71875,16258.0
12,2021-08-09,1 wk ahead inc case,2021-08-14,51,quantile,0.975,27477.71875,16258.0
14,2021-08-09,2 wk ahead inc case,2021-08-21,51,quantile,0.025,13066.467065429688,20575.0
15,2021-08-09,2 wk ahead inc case,2021-08-21,51,point,NA,26355.7509765625,20575.0
16,2021-08-09,2 wk ahead inc case,2021-08-21,51,quantile,0.1,15034.76806640625,20575.0
18,2021-08-09,2 wk ahead inc case,2021-08-21,51,quantile,0.25,19698.9443359375,20575.0
20,2021-08-09,2 wk ahead inc case,2021-08-21,51,quantile,0.5,26355.7509765625,20575.0
22,2021-08-09,2 wk ahead inc case,2021-08-21,51,quantile,0.75,29701.287109375,20575.0
24,2021-08-09,2 wk ahead inc case,2021-08-21,51,quantile,0.9,32296.794921875,20575.0
26,2021-08-09,2 wk ahead inc case,2021-08-21,51,quantile,0.975,32296.794921875,20575.0
28,2021-08-09,3 wk ahead inc case,2021-08-28,51,quantile,0.025,15320.7486328125,23537.0
29,2021-08-09,3 wk ahead inc case,2021-08-28,51,point,NA,28002.5458984375,23537.0
30,2021-08-09,3 wk ahead inc case,2021-08-28,51,quantile,0.1,19478.0380859375,23537.0
32,2021-08-09,3 wk ahead inc case,2021-08-28,51,quantile,0.25,22967.88134765625,23537.0
34,2021-08-09,3 wk ahead inc case,2021-08-28,51,quantile,0.5,28002.5458984375,23537.0
36,2021-08-09,3 wk ahead inc case,2021-08-28,51,quantile,0.75,31430.60791015625,23537.0
38,2021-08-09,3 wk ahead inc case,2021-08-28,51,quantile,0.9,34162.86328125,23537.0
40,2021-08-09,3 wk ahead inc case,2021-08-28,51,quantile,0.975,36703.1126953125,23537.0
42,2021-08-09,4 wk ahead inc case,2021-09-04,51,quantile,0.025,8137.623522949219,23665.0
43,2021-08-09,4 wk ahead inc case,2021-09-04,51,point,NA,27540.751953125,23665.0
44,2021-08-09,4 wk ahead inc case,2021-09-04,51,quantile,0.1,17658.544335937502,23665.0
46,2021-08-09,4 wk ahead inc case,2021-09-04,51,quantile,0.25,21271.7060546875,23665.0
48,2021-08-09,4 wk ahead inc case,2021-09-04,51,quantile,0.5,27540.751953125,23665.0
50,2021-08-09,4 wk ahead inc case,2021-09-04,51,quantile,0.75,31431.70654296875,23665.0
52,2021-08-09,4 wk ahead inc case,2021-09-04,51,quantile,0.9,35359.790234375,23665.0
54,2021-08-09,4 wk ahead inc case,2021-09-04,51,quantile,0.975,38925.31298828125,23665.0
