,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2021-03-15,1 wk ahead inc case,2021-03-20,51,quantile,0.025,5550.098217773438,10284.0
1,2021-03-15,1 wk ahead inc case,2021-03-20,51,point,NA,8698.509765625,10284.0
2,2021-03-15,1 wk ahead inc case,2021-03-20,51,quantile,0.1,6636.829296875,10284.0
4,2021-03-15,1 wk ahead inc case,2021-03-20,51,quantile,0.25,7443.9306640625,10284.0
6,2021-03-15,1 wk ahead inc case,2021-03-20,51,quantile,0.5,8698.509765625,10284.0
8,2021-03-15,1 wk ahead inc case,2021-03-20,51,quantile,0.75,9763.640869140625,10284.0
10,2021-03-15,1 wk ahead inc case,2021-03-20,51,quantile,0.9,9777.76123046875,10284.0
12,2021-03-15,1 wk ahead inc case,2021-03-20,51,quantile,0.975,10074.3310546875,10284.0
14,2021-03-15,2 wk ahead inc case,2021-03-27,51,quantile,0.025,6657.719226074219,9997.0
15,2021-03-15,2 wk ahead inc case,2021-03-27,51,point,NA,9287.10302734375,9997.0
16,2021-03-15,2 wk ahead inc case,2021-03-27,51,quantile,0.1,7419.23515625,9997.0
18,2021-03-15,2 wk ahead inc case,2021-03-27,51,quantile,0.25,8606.75341796875,9997.0
20,2021-03-15,2 wk ahead inc case,2021-03-27,51,quantile,0.5,9287.10302734375,9997.0
22,2021-03-15,2 wk ahead inc case,2021-03-27,51,quantile,0.75,9571.7568359375,9997.0
24,2021-03-15,2 wk ahead inc case,2021-03-27,51,quantile,0.9,9811.5865234375,9997.0
26,2021-03-15,2 wk ahead inc case,2021-03-27,51,quantile,0.975,9881.69873046875,9997.0
28,2021-03-15,3 wk ahead inc case,2021-04-03,51,quantile,0.025,6548.868896484375,10604.0
29,2021-03-15,3 wk ahead inc case,2021-04-03,51,point,NA,8765.54296875,10604.0
30,2021-03-15,3 wk ahead inc case,2021-04-03,51,quantile,0.1,7556.71962890625,10604.0
32,2021-03-15,3 wk ahead inc case,2021-04-03,51,quantile,0.25,8459.12109375,10604.0
34,2021-03-15,3 wk ahead inc case,2021-04-03,51,quantile,0.5,8765.54296875,10604.0
36,2021-03-15,3 wk ahead inc case,2021-04-03,51,quantile,0.75,9439.21923828125,10604.0
38,2021-03-15,3 wk ahead inc case,2021-04-03,51,quantile,0.9,9666.64248046875,10604.0
40,2021-03-15,3 wk ahead inc case,2021-04-03,51,quantile,0.975,9729.627978515626,10604.0
42,2021-03-15,4 wk ahead inc case,2021-04-10,51,quantile,0.025,6670.649975585938,10649.0
43,2021-03-15,4 wk ahead inc case,2021-04-10,51,point,NA,8521.93798828125,10649.0
44,2021-03-15,4 wk ahead inc case,2021-04-10,51,quantile,0.1,7483.3703125,10649.0
46,2021-03-15,4 wk ahead inc case,2021-04-10,51,quantile,0.25,7751.12158203125,10649.0
48,2021-03-15,4 wk ahead inc case,2021-04-10,51,quantile,0.5,8521.93798828125,10649.0
50,2021-03-15,4 wk ahead inc case,2021-04-10,51,quantile,0.75,9342.592041015625,10649.0
52,2021-03-15,4 wk ahead inc case,2021-04-10,51,quantile,0.9,9479.678515625,10649.0
54,2021-03-15,4 wk ahead inc case,2021-04-10,51,quantile,0.975,9612.601220703125,10649.0
56,2021-03-15,1 wk ahead inc case,2021-03-20,45,quantile,0.025,5933.026184082031,7731.0
57,2021-03-15,1 wk ahead inc case,2021-03-20,45,point,NA,6732.74853515625,7731.0
58,2021-03-15,1 wk ahead inc case,2021-03-20,45,quantile,0.1,6072.743408203125,7731.0
60,2021-03-15,1 wk ahead inc case,2021-03-20,45,quantile,0.25,6303.7318115234375,7731.0
62,2021-03-15,1 wk ahead inc case,2021-03-20,45,quantile,0.5,6732.74853515625,7731.0
64,2021-03-15,1 wk ahead inc case,2021-03-20,45,quantile,0.75,6833.17041015625,7731.0
66,2021-03-15,1 wk ahead inc case,2021-03-20,45,quantile,0.9,6968.13818359375,7731.0
68,2021-03-15,1 wk ahead inc case,2021-03-20,45,quantile,0.975,7010.230383300781,7731.0
70,2021-03-15,2 wk ahead inc case,2021-03-27,45,quantile,0.025,5826.2193603515625,7208.0
71,2021-03-15,2 wk ahead inc case,2021-03-27,45,point,NA,6455.598876953125,7208.0
72,2021-03-15,2 wk ahead inc case,2021-03-27,45,quantile,0.1,6042.384765625,7208.0
74,2021-03-15,2 wk ahead inc case,2021-03-27,45,quantile,0.25,6179.692138671875,7208.0
76,2021-03-15,2 wk ahead inc case,2021-03-27,45,quantile,0.5,6455.598876953125,7208.0
78,2021-03-15,2 wk ahead inc case,2021-03-27,45,quantile,0.75,6596.80615234375,7208.0
80,2021-03-15,2 wk ahead inc case,2021-03-27,45,quantile,0.9,6705.34609375,7208.0
82,2021-03-15,2 wk ahead inc case,2021-03-27,45,quantile,0.975,6807.369140625,7208.0
84,2021-03-15,3 wk ahead inc case,2021-04-03,45,quantile,0.025,5684.347387695312,6508.0
85,2021-03-15,3 wk ahead inc case,2021-04-03,45,point,NA,6331.058349609375,6508.0
86,2021-03-15,3 wk ahead inc case,2021-04-03,45,quantile,0.1,5739.946044921875,6508.0
88,2021-03-15,3 wk ahead inc case,2021-04-03,45,quantile,0.25,6071.3656005859375,6508.0
90,2021-03-15,3 wk ahead inc case,2021-04-03,45,quantile,0.5,6331.058349609375,6508.0
92,2021-03-15,3 wk ahead inc case,2021-04-03,45,quantile,0.75,6403.122802734375,6508.0
94,2021-03-15,3 wk ahead inc case,2021-04-03,45,quantile,0.9,6476.288623046875,6508.0
96,2021-03-15,3 wk ahead inc case,2021-04-03,45,quantile,0.975,6556.779809570313,6508.0
98,2021-03-15,4 wk ahead inc case,2021-04-10,45,quantile,0.025,5649.528466796875,6489.0
99,2021-03-15,4 wk ahead inc case,2021-04-10,45,point,NA,6029.317626953125,6489.0
100,2021-03-15,4 wk ahead inc case,2021-04-10,45,quantile,0.1,5861.741455078125,6489.0
102,2021-03-15,4 wk ahead inc case,2021-04-10,45,quantile,0.25,5923.78466796875,6489.0
104,2021-03-15,4 wk ahead inc case,2021-04-10,45,quantile,0.5,6029.317626953125,6489.0
106,2021-03-15,4 wk ahead inc case,2021-04-10,45,quantile,0.75,6236.4832763671875,6489.0
108,2021-03-15,4 wk ahead inc case,2021-04-10,45,quantile,0.9,6290.05751953125,6489.0
110,2021-03-15,4 wk ahead inc case,2021-04-10,45,quantile,0.975,6373.804309082031,6489.0
112,2021-03-15,1 wk ahead inc case,2021-03-20,37,quantile,0.025,8814.261474609375,10254.0
113,2021-03-15,1 wk ahead inc case,2021-03-20,37,point,NA,11690.908203125,10254.0
114,2021-03-15,1 wk ahead inc case,2021-03-20,37,quantile,0.1,9364.2021484375,10254.0
