,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2021-08-30,1 wk ahead inc case,2021-09-04,51,quantile,0.025,24307.781201171874,23665.0
1,2021-08-30,1 wk ahead inc case,2021-09-04,51,point,NA,36843.701171875,23665.0
2,2021-08-30,1 wk ahead inc case,2021-09-04,51,quantile,0.1,27361.3984375,23665.0
4,2021-08-30,1 wk ahead inc case,2021-09-04,51,quantile,0.25,33611.1298828125,23665.0
6,2021-08-30,1 wk ahead inc case,2021-09-04,51,quantile,0.5,36843.701171875,23665.0
8,2021-08-30,1 wk ahead inc case,2021-09-04,51,quantile,0.75,41589.75,23665.0
10,2021-08-30,1 wk ahead inc case,2021-09-04,51,quantile,0.9,43582.40234375,23665.0
12,2021-08-30,1 wk ahead inc case,2021-09-04,51,quantile,0.975,43582.40234375,23665.0
14,2021-08-30,2 wk ahead inc case,2021-09-11,51,quantile,0.025,22487.51748046875,25377.0
15,2021-08-30,2 wk ahead inc case,2021-09-11,51,point,NA,37822.62890625,25377.0
16,2021-08-30,2 wk ahead inc case,2021-09-11,51,quantile,0.1,27819.72109375,25377.0
18,2021-08-30,2 wk ahead inc case,2021-09-11,51,quantile,0.25,34443.2822265625,25377.0
20,2021-08-30,2 wk ahead inc case,2021-09-11,51,quantile,0.5,37822.62890625,25377.0
22,2021-08-30,2 wk ahead inc case,2021-09-11,51,quantile,0.75,43257.513671875,25377.0
24,2021-08-30,2 wk ahead inc case,2021-09-11,51,quantile,0.9,45244.46640625,25377.0
26,2021-08-30,2 wk ahead inc case,2021-09-11,51,quantile,0.975,47201.112890625,25377.0
28,2021-08-30,3 wk ahead inc case,2021-09-18,51,quantile,0.025,21052.5126953125,22994.0
29,2021-08-30,3 wk ahead inc case,2021-09-18,51,point,NA,37217.046875,22994.0
30,2021-08-30,3 wk ahead inc case,2021-09-18,51,quantile,0.1,26150.6720703125,22994.0
32,2021-08-30,3 wk ahead inc case,2021-09-18,51,quantile,0.25,30670.451171875,22994.0
