,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2021-07-19,1 wk ahead inc case,2021-07-24,51,quantile,0.025,9636.49599609375,6202.0
1,2021-07-19,1 wk ahead inc case,2021-07-24,51,point,NA,12541.90283203125,6202.0
2,2021-07-19,1 wk ahead inc case,2021-07-24,51,quantile,0.1,10235.917578125,6202.0
4,2021-07-19,1 wk ahead inc case,2021-07-24,51,quantile,0.25,11367.77294921875,6202.0
6,2021-07-19,1 wk ahead inc case,2021-07-24,51,quantile,0.5,12541.90283203125,6202.0
8,2021-07-19,1 wk ahead inc case,2021-07-24,51,quantile,0.75,14803.724609375,6202.0
10,2021-07-19,1 wk ahead inc case,2021-07-24,51,quantile,0.9,14834.499609375,6202.0
12,2021-07-19,1 wk ahead inc case,2021-07-24,51,quantile,0.975,14883.8466796875,6202.0
14,2021-07-19,2 wk ahead inc case,2021-07-31,51,quantile,0.025,10028.878686523438,10289.0
15,2021-07-19,2 wk ahead inc case,2021-07-31,51,point,NA,15636.37548828125,10289.0
16,2021-07-19,2 wk ahead inc case,2021-07-31,51,quantile,0.1,11981.72939453125,10289.0
18,2021-07-19,2 wk ahead inc case,2021-07-31,51,quantile,0.25,13768.337890625,10289.0
20,2021-07-19,2 wk ahead inc case,2021-07-31,51,quantile,0.5,15636.37548828125,10289.0
22,2021-07-19,2 wk ahead inc case,2021-07-31,51,quantile,0.75,17172.099609375,10289.0
24,2021-07-19,2 wk ahead inc case,2021-07-31,51,quantile,0.9,18663.9044921875,10289.0
26,2021-07-19,2 wk ahead inc case,2021-07-31,51,quantile,0.975,19222.144873046876,10289.0
28,2021-07-19,3 wk ahead inc case,2021-08-07,51,quantile,0.025,8300.739624023438,13181.0
29,2021-07-19,3 wk ahead inc case,2021-08-07,51,point,NA,18919.8408203125,13181.0
30,2021-07-19,3 wk ahead inc case,2021-08-07,51,quantile,0.1,12969.7220703125,13181.0
32,2021-07-19,3 wk ahead inc case,2021-08-07,51,quantile,0.25,16450.7724609375,13181.0
34,2021-07-19,3 wk ahead inc case,2021-08-07,51,quantile,0.5,18919.8408203125,13181.0
36,2021-07-19,3 wk ahead inc case,2021-08-07,51,quantile,0.75,20418.1279296875,13181.0
38,2021-07-19,3 wk ahead inc case,2021-08-07,51,quantile,0.9,22528.915234375,13181.0
40,2021-07-19,3 wk ahead inc case,2021-08-07,51,quantile,0.975,23556.216796875,13181.0
42,2021-07-19,4 wk ahead inc case,2021-08-14,51,quantile,0.025,12829.589404296876,16258.0
43,2021-07-19,4 wk ahead inc case,2021-08-14,51,point,NA,20562.5966796875,16258.0
44,2021-07-19,4 wk ahead inc case,2021-08-14,51,quantile,0.1,16362.67333984375,16258.0
46,2021-07-19,4 wk ahead inc case,2021-08-14,51,quantile,0.25,18227.736328125,16258.0
48,2021-07-19,4 wk ahead inc case,2021-08-14,51,quantile,0.5,20562.5966796875,16258.0
50,2021-07-19,4 wk ahead inc case,2021-08-14,51,quantile,0.75,24623.46728515625,16258.0
52,2021-07-19,4 wk ahead inc case,2021-08-14,51,quantile,0.9,26353.295703125,16258.0
54,2021-07-19,4 wk ahead inc case,2021-08-14,51,quantile,0.975,29337.6361328125,16258.0
56,2021-07-19,1 wk ahead inc case,2021-07-24,45,quantile,0.025,12284.96484375,10315.0
57,2021-07-19,1 wk ahead inc case,2021-07-24,45,point,NA,23316.2890625,10315.0
58,2021-07-19,1 wk ahead inc case,2021-07-24,45,quantile,0.1,18589.5498046875,10315.0
60,2021-07-19,1 wk ahead inc case,2021-07-24,45,quantile,0.25,19446.1328125,10315.0
62,2021-07-19,1 wk ahead inc case,2021-07-24,45,quantile,0.5,23316.2890625,10315.0
64,2021-07-19,1 wk ahead inc case,2021-07-24,45,quantile,0.75,23316.2890625,10315.0
66,2021-07-19,1 wk ahead inc case,2021-07-24,45,quantile,0.9,23316.2890625,10315.0
68,2021-07-19,1 wk ahead inc case,2021-07-24,45,quantile,0.975,23316.2890625,10315.0
70,2021-07-19,2 wk ahead inc case,2021-07-31,45,quantile,0.025,12348.7501953125,17163.0
71,2021-07-19,2 wk ahead inc case,2021-07-31,45,point,NA,25971.298828125,17163.0
72,2021-07-19,2 wk ahead inc case,2021-07-31,45,quantile,0.1,12792.8150390625,17163.0
74,2021-07-19,2 wk ahead inc case,2021-07-31,45,quantile,0.25,20368.54296875,17163.0
76,2021-07-19,2 wk ahead inc case,2021-07-31,45,quantile,0.5,25971.298828125,17163.0
78,2021-07-19,2 wk ahead inc case,2021-07-31,45,quantile,0.75,31177.3828125,17163.0
80,2021-07-19,2 wk ahead inc case,2021-07-31,45,quantile,0.9,31451.8515625,17163.0
82,2021-07-19,2 wk ahead inc case,2021-07-31,45,quantile,0.975,31451.8515625,17163.0
84,2021-07-19,3 wk ahead inc case,2021-08-07,45,quantile,0.025,11309.442944335937,22003.0
85,2021-07-19,3 wk ahead inc case,2021-08-07,45,point,NA,32354.8310546875,22003.0
86,2021-07-19,3 wk ahead inc case,2021-08-07,45,quantile,0.1,20579.24921875,22003.0
88,2021-07-19,3 wk ahead inc case,2021-08-07,45,quantile,0.25,24858.29541015625,22003.0
90,2021-07-19,3 wk ahead inc case,2021-08-07,45,quantile,0.5,32354.8310546875,22003.0
92,2021-07-19,3 wk ahead inc case,2021-08-07,45,quantile,0.75,37603.0986328125,22003.0
94,2021-07-19,3 wk ahead inc case,2021-08-07,45,quantile,0.9,41630.80859375,22003.0
96,2021-07-19,3 wk ahead inc case,2021-08-07,45,quantile,0.975,41630.80859375,22003.0
98,2021-07-19,4 wk ahead inc case,2021-08-14,45,quantile,0.025,18607.077880859375,25346.0
99,2021-07-19,4 wk ahead inc case,2021-08-14,45,point,NA,37400.1875,25346.0
100,2021-07-19,4 wk ahead inc case,2021-08-14,45,quantile,0.1,23121.4240234375,25346.0
102,2021-07-19,4 wk ahead inc case,2021-08-14,45,quantile,0.25,30539.755859375,25346.0
104,2021-07-19,4 wk ahead inc case,2021-08-14,45,quantile,0.5,37400.1875,25346.0
106,2021-07-19,4 wk ahead inc case,2021-08-14,45,quantile,0.75,43660.2099609375,25346.0
108,2021-07-19,4 wk ahead inc case,2021-08-14,45,quantile,0.9,48469.58359375,25346.0
110,2021-07-19,4 wk ahead inc case,2021-08-14,45,quantile,0.975,53080.59404296875,25346.0
112,2021-07-19,1 wk ahead inc case,2021-07-24,37,quantile,0.025,11510.533251953126,16151.0
113,2021-07-19,1 wk ahead inc case,2021-07-24,37,point,NA,28094.0390625,16151.0
114,2021-07-19,1 wk ahead inc case,2021-07-24,37,quantile,0.1,18186.388671875,16151.0
116,2021-07-19,1 wk ahead inc case,2021-07-24,37,quantile,0.25,22713.25341796875,16151.0
118,2021-07-19,1 wk ahead inc case,2021-07-24,37,quantile,0.5,28094.0390625,16151.0
120,2021-07-19,1 wk ahead inc case,2021-07-24,37,quantile,0.75,31442.796875,16151.0
122,2021-07-19,1 wk ahead inc case,2021-07-24,37,quantile,0.9,31442.796875,16151.0
124,2021-07-19,1 wk ahead inc case,2021-07-24,37,quantile,0.975,31442.796875,16151.0
126,2021-07-19,2 wk ahead inc case,2021-07-31,37,quantile,0.025,19418.212841796874,23063.0
127,2021-07-19,2 wk ahead inc case,2021-07-31,37,point,NA,33889.1015625,23063.0
128,2021-07-19,2 wk ahead inc case,2021-07-31,37,quantile,0.1,25031.433203125,23063.0
130,2021-07-19,2 wk ahead inc case,2021-07-31,37,quantile,0.25,30113.6201171875,23063.0
132,2021-07-19,2 wk ahead inc case,2021-07-31,37,quantile,0.5,33889.1015625,23063.0
134,2021-07-19,2 wk ahead inc case,2021-07-31,37,quantile,0.75,37610.806640625,23063.0
136,2021-07-19,2 wk ahead inc case,2021-07-31,37,quantile,0.9,42025.93359375,23063.0
138,2021-07-19,2 wk ahead inc case,2021-07-31,37,quantile,0.975,42025.93359375,23063.0
140,2021-07-19,3 wk ahead inc case,2021-08-07,37,quantile,0.025,21068.1599609375,36197.0
141,2021-07-19,3 wk ahead inc case,2021-08-07,37,point,NA,44573.0703125,36197.0
142,2021-07-19,3 wk ahead inc case,2021-08-07,37,quantile,0.1,27218.111328125,36197.0
144,2021-07-19,3 wk ahead inc case,2021-08-07,37,quantile,0.25,38567.2314453125,36197.0
146,2021-07-19,3 wk ahead inc case,2021-08-07,37,quantile,0.5,44573.0703125,36197.0
148,2021-07-19,3 wk ahead inc case,2021-08-07,37,quantile,0.75,49281.4013671875,36197.0
150,2021-07-19,3 wk ahead inc case,2021-08-07,37,quantile,0.9,53721.2390625,36197.0
152,2021-07-19,3 wk ahead inc case,2021-08-07,37,quantile,0.975,55991.1796875,36197.0
154,2021-07-19,4 wk ahead inc case,2021-08-14,37,quantile,0.025,21673.814404296874,37598.0
155,2021-07-19,4 wk ahead inc case,2021-08-14,37,point,NA,49613.994140625,37598.0
156,2021-07-19,4 wk ahead inc case,2021-08-14,37,quantile,0.1,35279.122265625,37598.0
158,2021-07-19,4 wk ahead inc case,2021-08-14,37,quantile,0.25,40705.6728515625,37598.0
160,2021-07-19,4 wk ahead inc case,2021-08-14,37,quantile,0.5,49613.994140625,37598.0
162,2021-07-19,4 wk ahead inc case,2021-08-14,37,quantile,0.75,61033.51953125,37598.0
164,2021-07-19,4 wk ahead inc case,2021-08-14,37,quantile,0.9,68300.5453125,37598.0
166,2021-07-19,4 wk ahead inc case,2021-08-14,37,quantile,0.975,71736.9392578125,37598.0
168,2021-07-19,1 wk ahead inc case,2021-07-24,13,quantile,0.025,18869.07778675,20942.0
169,2021-07-19,1 wk ahead inc case,2021-07-24,13,point,NA,34462.50781,20942.0
170,2021-07-19,1 wk ahead inc case,2021-07-24,13,quantile,0.1,23893.782028999998,20942.0
172,2021-07-19,1 wk ahead inc case,2021-07-24,13,quantile,0.25,28663.2817375,20942.0
174,2021-07-19,1 wk ahead inc case,2021-07-24,13,quantile,0.5,34462.50781,20942.0
176,2021-07-19,1 wk ahead inc case,2021-07-24,13,quantile,0.75,37892.0996075,20942.0
178,2021-07-19,1 wk ahead inc case,2021-07-24,13,quantile,0.9,38859.78906,20942.0
180,2021-07-19,1 wk ahead inc case,2021-07-24,13,quantile,0.975,38859.78906,20942.0
182,2021-07-19,2 wk ahead inc case,2021-07-31,13,quantile,0.025,28340.203955,30801.0
183,2021-07-19,2 wk ahead inc case,2021-07-31,13,point,NA,41229.775395000004,30801.0
184,2021-07-19,2 wk ahead inc case,2021-07-31,13,quantile,0.1,32757.031837000002,30801.0
186,2021-07-19,2 wk ahead inc case,2021-07-31,13,quantile,0.25,36302.6289025,30801.0
188,2021-07-19,2 wk ahead inc case,2021-07-31,13,quantile,0.5,41229.775395000004,30801.0
190,2021-07-19,2 wk ahead inc case,2021-07-31,13,quantile,0.75,46997.7998075,30801.0
192,2021-07-19,2 wk ahead inc case,2021-07-31,13,quantile,0.9,51487.05078,30801.0
194,2021-07-19,2 wk ahead inc case,2021-07-31,13,quantile,0.975,51487.05078,30801.0
196,2021-07-19,3 wk ahead inc case,2021-08-07,13,quantile,0.025,35127.77753725,40045.0
197,2021-07-19,3 wk ahead inc case,2021-08-07,13,point,NA,51315.60742,40045.0
198,2021-07-19,3 wk ahead inc case,2021-08-07,13,quantile,0.1,39034.383983,40045.0
200,2021-07-19,3 wk ahead inc case,2021-08-07,13,quantile,0.25,42880.5625025,40045.0
202,2021-07-19,3 wk ahead inc case,2021-08-07,13,quantile,0.5,51315.60742,40045.0
204,2021-07-19,3 wk ahead inc case,2021-08-07,13,quantile,0.75,59401.6132825,40045.0
206,2021-07-19,3 wk ahead inc case,2021-08-07,13,quantile,0.9,61443.421489,40045.0
208,2021-07-19,3 wk ahead inc case,2021-08-07,13,quantile,0.975,66687.75751925,40045.0
210,2021-07-19,4 wk ahead inc case,2021-08-14,13,quantile,0.025,39626.245508500004,52676.0
211,2021-07-19,4 wk ahead inc case,2021-08-14,13,point,NA,59557.498045,52676.0
212,2021-07-19,4 wk ahead inc case,2021-08-14,13,quantile,0.1,43443.137112,52676.0
214,2021-07-19,4 wk ahead inc case,2021-08-14,13,quantile,0.25,49957.5517575,52676.0
216,2021-07-19,4 wk ahead inc case,2021-08-14,13,quantile,0.5,59557.498045,52676.0
218,2021-07-19,4 wk ahead inc case,2021-08-14,13,quantile,0.75,72610.79297,52676.0
220,2021-07-19,4 wk ahead inc case,2021-08-14,13,quantile,0.9,77292.704688,52676.0
222,2021-07-19,4 wk ahead inc case,2021-08-14,13,quantile,0.975,84177.40019475,52676.0
224,2021-07-19,1 wk ahead inc case,2021-07-24,47,quantile,0.025,12492.196264648437,14635.0
225,2021-07-19,1 wk ahead inc case,2021-07-24,47,point,NA,19312.078125,14635.0
226,2021-07-19,1 wk ahead inc case,2021-07-24,47,quantile,0.1,13557.1708984375,14635.0
228,2021-07-19,1 wk ahead inc case,2021-07-24,47,quantile,0.25,17910.36328125,14635.0
230,2021-07-19,1 wk ahead inc case,2021-07-24,47,quantile,0.5,19312.078125,14635.0
232,2021-07-19,1 wk ahead inc case,2021-07-24,47,quantile,0.75,23896.05078125,14635.0
234,2021-07-19,1 wk ahead inc case,2021-07-24,47,quantile,0.9,23896.05078125,14635.0
236,2021-07-19,1 wk ahead inc case,2021-07-24,47,quantile,0.975,23896.05078125,14635.0
238,2021-07-19,2 wk ahead inc case,2021-07-31,47,quantile,0.025,11003.190649414062,21510.0
239,2021-07-19,2 wk ahead inc case,2021-07-31,47,point,NA,21778.150390625,21510.0
240,2021-07-19,2 wk ahead inc case,2021-07-31,47,quantile,0.1,15934.887402343751,21510.0
