,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2021-11-15,1 wk ahead inc case,2021-11-20,51,quantile,0.025,5675.4375,10315.0
1,2021-11-15,1 wk ahead inc case,2021-11-20,51,point,NA,13661.60546875,10315.0
2,2021-11-15,1 wk ahead inc case,2021-11-20,51,quantile,0.1,8072.610888671876,10315.0
4,2021-11-15,1 wk ahead inc case,2021-11-20,51,quantile,0.25,9884.619140625,10315.0
6,2021-11-15,1 wk ahead inc case,2021-11-20,51,quantile,0.5,13661.60546875,10315.0
8,2021-11-15,1 wk ahead inc case,2021-11-20,51,quantile,0.75,14297.8916015625,10315.0
10,2021-11-15,1 wk ahead inc case,2021-11-20,51,quantile,0.9,15051.3470703125,10315.0
12,2021-11-15,1 wk ahead inc case,2021-11-20,51,quantile,0.975,16206.585839843749,10315.0
14,2021-11-15,2 wk ahead inc case,2021-11-27,51,quantile,0.025,4934.662036132812,12870.0
15,2021-11-15,2 wk ahead inc case,2021-11-27,51,point,NA,11732.7470703125,12870.0
16,2021-11-15,2 wk ahead inc case,2021-11-27,51,quantile,0.1,8205.673974609375,12870.0
18,2021-11-15,2 wk ahead inc case,2021-11-27,51,quantile,0.25,10341.7783203125,12870.0
20,2021-11-15,2 wk ahead inc case,2021-11-27,51,quantile,0.5,11732.7470703125,12870.0
22,2021-11-15,2 wk ahead inc case,2021-11-27,51,quantile,0.75,13959.552001953125,12870.0
24,2021-11-15,2 wk ahead inc case,2021-11-27,51,quantile,0.9,15890.3328125,12870.0
26,2021-11-15,2 wk ahead inc case,2021-11-27,51,quantile,0.975,17232.3435546875,12870.0
28,2021-11-15,3 wk ahead inc case,2021-12-04,51,quantile,0.025,7320.575354003906,17480.0
29,2021-11-15,3 wk ahead inc case,2021-12-04,51,point,NA,12053.40087890625,17480.0
30,2021-11-15,3 wk ahead inc case,2021-12-04,51,quantile,0.1,7597.59599609375,17480.0
32,2021-11-15,3 wk ahead inc case,2021-12-04,51,quantile,0.25,9808.533935546875,17480.0
34,2021-11-15,3 wk ahead inc case,2021-12-04,51,quantile,0.5,12053.40087890625,17480.0
36,2021-11-15,3 wk ahead inc case,2021-12-04,51,quantile,0.75,14718.3447265625,17480.0
38,2021-11-15,3 wk ahead inc case,2021-12-04,51,quantile,0.9,16648.8623046875,17480.0
40,2021-11-15,3 wk ahead inc case,2021-12-04,51,quantile,0.975,18171.44213867187,17480.0
42,2021-11-15,4 wk ahead inc case,2021-12-11,51,quantile,0.025,6032.441003417969,19345.0
43,2021-11-15,4 wk ahead inc case,2021-12-11,51,point,NA,13096.99658203125,19345.0
44,2021-11-15,4 wk ahead inc case,2021-12-11,51,quantile,0.1,8559.421240234375,19345.0
46,2021-11-15,4 wk ahead inc case,2021-12-11,51,quantile,0.25,11391.204345703125,19345.0
48,2021-11-15,4 wk ahead inc case,2021-12-11,51,quantile,0.5,13096.99658203125,19345.0
50,2021-11-15,4 wk ahead inc case,2021-12-11,51,quantile,0.75,15327.81787109375,19345.0
52,2021-11-15,4 wk ahead inc case,2021-12-11,51,quantile,0.9,17381.497265625,19345.0
54,2021-11-15,4 wk ahead inc case,2021-12-11,51,quantile,0.975,18965.118603515624,19345.0
56,2021-11-15,1 wk ahead inc case,2021-11-20,45,quantile,0.025,3473.0611328125,4082.0
57,2021-11-15,1 wk ahead inc case,2021-11-20,45,point,NA,4830.805908203125,4082.0
