,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2021-10-04,1 wk ahead inc case,2021-10-09,51,quantile,0.025,4912.441314697266,14901.0
1,2021-10-04,1 wk ahead inc case,2021-10-09,51,point,NA,19249.4375,14901.0
2,2021-10-04,1 wk ahead inc case,2021-10-09,51,quantile,0.1,9599.626660156251,14901.0
4,2021-10-04,1 wk ahead inc case,2021-10-09,51,quantile,0.25,11502.46826171875,14901.0
6,2021-10-04,1 wk ahead inc case,2021-10-09,51,quantile,0.5,19249.4375,14901.0
8,2021-10-04,1 wk ahead inc case,2021-10-09,51,quantile,0.75,26096.94775390625,14901.0
10,2021-10-04,1 wk ahead inc case,2021-10-09,51,quantile,0.9,28369.506640625,14901.0
12,2021-10-04,1 wk ahead inc case,2021-10-09,51,quantile,0.975,34588.8328125,14901.0
14,2021-10-04,2 wk ahead inc case,2021-10-16,51,quantile,0.025,4361.056451416016,11845.0
15,2021-10-04,2 wk ahead inc case,2021-10-16,51,point,NA,16918.1689453125,11845.0
16,2021-10-04,2 wk ahead inc case,2021-10-16,51,quantile,0.1,8161.781689453125,11845.0
18,2021-10-04,2 wk ahead inc case,2021-10-16,51,quantile,0.25,14097.677734375,11845.0
20,2021-10-04,2 wk ahead inc case,2021-10-16,51,quantile,0.5,16918.1689453125,11845.0
22,2021-10-04,2 wk ahead inc case,2021-10-16,51,quantile,0.75,23967.9365234375,11845.0
24,2021-10-04,2 wk ahead inc case,2021-10-16,51,quantile,0.9,26242.673828125007,11845.0
26,2021-10-04,2 wk ahead inc case,2021-10-16,51,quantile,0.975,31375.832031249996,11845.0
28,2021-10-04,3 wk ahead inc case,2021-10-23,51,quantile,0.025,1240.1122940063478,10030.0
29,2021-10-04,3 wk ahead inc case,2021-10-23,51,point,NA,13997.4921875,10030.0
30,2021-10-04,3 wk ahead inc case,2021-10-23,51,quantile,0.1,5973.332470703125,10030.0
32,2021-10-04,3 wk ahead inc case,2021-10-23,51,quantile,0.25,8194.867065429688,10030.0
34,2021-10-04,3 wk ahead inc case,2021-10-23,51,quantile,0.5,13997.4921875,10030.0
36,2021-10-04,3 wk ahead inc case,2021-10-23,51,quantile,0.75,19695.2294921875,10030.0
38,2021-10-04,3 wk ahead inc case,2021-10-23,51,quantile,0.9,21356.4681640625,10030.0
40,2021-10-04,3 wk ahead inc case,2021-10-23,51,quantile,0.975,21970.64794921875,10030.0
42,2021-10-04,4 wk ahead inc case,2021-10-30,51,quantile,0.025,469.1321838378908,9070.0
43,2021-10-04,4 wk ahead inc case,2021-10-30,51,point,NA,12948.1708984375,9070.0
44,2021-10-04,4 wk ahead inc case,2021-10-30,51,quantile,0.1,6292.816845703125,9070.0
46,2021-10-04,4 wk ahead inc case,2021-10-30,51,quantile,0.25,8573.71337890625,9070.0
48,2021-10-04,4 wk ahead inc case,2021-10-30,51,quantile,0.5,12948.1708984375,9070.0
50,2021-10-04,4 wk ahead inc case,2021-10-30,51,quantile,0.75,18221.17041015625,9070.0
52,2021-10-04,4 wk ahead inc case,2021-10-30,51,quantile,0.9,20128.7130859375,9070.0
54,2021-10-04,4 wk ahead inc case,2021-10-30,51,quantile,0.975,23942.29829101562,9070.0
56,2021-10-04,1 wk ahead inc case,2021-10-09,45,quantile,0.025,2578.824224853516,9969.0
57,2021-10-04,1 wk ahead inc case,2021-10-09,45,point,NA,24316.880859375,9969.0
58,2021-10-04,1 wk ahead inc case,2021-10-09,45,quantile,0.1,10546.2908203125,9969.0
60,2021-10-04,1 wk ahead inc case,2021-10-09,45,quantile,0.25,15328.395751953125,9969.0
62,2021-10-04,1 wk ahead inc case,2021-10-09,45,quantile,0.5,24316.880859375,9969.0
64,2021-10-04,1 wk ahead inc case,2021-10-09,45,quantile,0.75,27865.7412109375,9969.0
66,2021-10-04,1 wk ahead inc case,2021-10-09,45,quantile,0.9,40286.537500000006,9969.0
