,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2021-02-08,1 wk ahead inc case,2021-02-13,51,quantile,0.025,10990.776586914062,14836.0
1,2021-02-08,1 wk ahead inc case,2021-02-13,51,point,NA,37796.87109375,14836.0
2,2021-02-08,1 wk ahead inc case,2021-02-13,51,quantile,0.1,16047.6375,14836.0
4,2021-02-08,1 wk ahead inc case,2021-02-13,51,quantile,0.25,28948.92431640625,14836.0
6,2021-02-08,1 wk ahead inc case,2021-02-13,51,quantile,0.5,37796.87109375,14836.0
8,2021-02-08,1 wk ahead inc case,2021-02-13,51,quantile,0.75,48238.06640625,14836.0
10,2021-02-08,1 wk ahead inc case,2021-02-13,51,quantile,0.9,55765.6890625,14836.0
12,2021-02-08,1 wk ahead inc case,2021-02-13,51,quantile,0.975,62052.84892578125,14836.0
14,2021-02-08,2 wk ahead inc case,2021-02-20,51,quantile,0.025,8625.512231445313,12706.0
15,2021-02-08,2 wk ahead inc case,2021-02-20,51,point,NA,28788.64453125,12706.0
16,2021-02-08,2 wk ahead inc case,2021-02-20,51,quantile,0.1,15196.6361328125,12706.0
18,2021-02-08,2 wk ahead inc case,2021-02-20,51,quantile,0.25,22255.8994140625,12706.0
20,2021-02-08,2 wk ahead inc case,2021-02-20,51,quantile,0.5,28788.64453125,12706.0
22,2021-02-08,2 wk ahead inc case,2021-02-20,51,quantile,0.75,39089.0400390625,12706.0
24,2021-02-08,2 wk ahead inc case,2021-02-20,51,quantile,0.9,48549.619531250006,12706.0
26,2021-02-08,2 wk ahead inc case,2021-02-20,51,quantile,0.975,52579.68427734375,12706.0
28,2021-02-08,3 wk ahead inc case,2021-02-27,51,quantile,0.025,10120.669970703126,10357.0
29,2021-02-08,3 wk ahead inc case,2021-02-27,51,point,NA,21426.9658203125,10357.0
30,2021-02-08,3 wk ahead inc case,2021-02-27,51,quantile,0.1,12812.1318359375,10357.0
32,2021-02-08,3 wk ahead inc case,2021-02-27,51,quantile,0.25,16627.787109375,10357.0
34,2021-02-08,3 wk ahead inc case,2021-02-27,51,quantile,0.5,21426.9658203125,10357.0
36,2021-02-08,3 wk ahead inc case,2021-02-27,51,quantile,0.75,26068.978515625,10357.0
38,2021-02-08,3 wk ahead inc case,2021-02-27,51,quantile,0.9,29691.623632812498,10357.0
40,2021-02-08,3 wk ahead inc case,2021-02-27,51,quantile,0.975,30919.243212890622,10357.0
42,2021-02-08,4 wk ahead inc case,2021-03-06,51,quantile,0.025,9488.058520507813,9342.0
