,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2020-11-23,1 wk ahead inc case,2020-11-28,51,quantile,0.025,2673.7550537109373,17570.0
1,2020-11-23,1 wk ahead inc case,2020-11-28,51,point,NA,12681.95263671875,17570.0
2,2020-11-23,1 wk ahead inc case,2020-11-28,51,quantile,0.1,5010.345068359375,17570.0
4,2020-11-23,1 wk ahead inc case,2020-11-28,51,quantile,0.25,9669.800537109375,17570.0
6,2020-11-23,1 wk ahead inc case,2020-11-28,51,quantile,0.5,12681.95263671875,17570.0
8,2020-11-23,1 wk ahead inc case,2020-11-28,51,quantile,0.75,19153.09326171875,17570.0
10,2020-11-23,1 wk ahead inc case,2020-11-28,51,quantile,0.9,21742.984375,17570.0
12,2020-11-23,1 wk ahead inc case,2020-11-28,51,quantile,0.975,24938.023046874998,17570.0
14,2020-11-23,2 wk ahead inc case,2020-12-05,51,quantile,0.025,2554.0721740722656,27610.0
15,2020-11-23,2 wk ahead inc case,2020-12-05,51,point,NA,15875.96630859375,27610.0
16,2020-11-23,2 wk ahead inc case,2020-12-05,51,quantile,0.1,7790.55009765625,27610.0
18,2020-11-23,2 wk ahead inc case,2020-12-05,51,quantile,0.25,11287.871826171875,27610.0
20,2020-11-23,2 wk ahead inc case,2020-12-05,51,quantile,0.5,15875.96630859375,27610.0
22,2020-11-23,2 wk ahead inc case,2020-12-05,51,quantile,0.75,19703.70263671875,27610.0
24,2020-11-23,2 wk ahead inc case,2020-12-05,51,quantile,0.9,24311.4234375,27610.0
26,2020-11-23,2 wk ahead inc case,2020-12-05,51,quantile,0.975,25586.33056640625,27610.0
28,2020-11-23,3 wk ahead inc case,2020-12-12,51,quantile,0.025,3594.771032714844,24393.0
29,2020-11-23,3 wk ahead inc case,2020-12-12,51,point,NA,23029.7294921875,24393.0
30,2020-11-23,3 wk ahead inc case,2020-12-12,51,quantile,0.1,10324.105664062501,24393.0
32,2020-11-23,3 wk ahead inc case,2020-12-12,51,quantile,0.25,15877.251220703125,24393.0
34,2020-11-23,3 wk ahead inc case,2020-12-12,51,quantile,0.5,23029.7294921875,24393.0
36,2020-11-23,3 wk ahead inc case,2020-12-12,51,quantile,0.75,28453.92626953125,24393.0
38,2020-11-23,3 wk ahead inc case,2020-12-12,51,quantile,0.9,32616.808203125,24393.0
40,2020-11-23,3 wk ahead inc case,2020-12-12,51,quantile,0.975,38187.091406249994,24393.0
42,2020-11-23,4 wk ahead inc case,2020-12-19,51,quantile,0.025,3149.0480224609373,26617.0
43,2020-11-23,4 wk ahead inc case,2020-12-19,51,point,NA,26136.970703125,26617.0
44,2020-11-23,4 wk ahead inc case,2020-12-19,51,quantile,0.1,12360.602734375001,26617.0
46,2020-11-23,4 wk ahead inc case,2020-12-19,51,quantile,0.25,18458.4541015625,26617.0
48,2020-11-23,4 wk ahead inc case,2020-12-19,51,quantile,0.5,26136.970703125,26617.0
50,2020-11-23,4 wk ahead inc case,2020-12-19,51,quantile,0.75,33513.1943359375,26617.0
52,2020-11-23,4 wk ahead inc case,2020-12-19,51,quantile,0.9,43636.3359375,26617.0
54,2020-11-23,4 wk ahead inc case,2020-12-19,51,quantile,0.975,45977.79482421875,26617.0
56,2020-11-23,1 wk ahead inc case,2020-11-28,45,quantile,0.025,1169.8593322753904,14324.0
57,2020-11-23,1 wk ahead inc case,2020-11-28,45,point,NA,11879.28173828125,14324.0
58,2020-11-23,1 wk ahead inc case,2020-11-28,45,quantile,0.1,2913.081005859375,14324.0
60,2020-11-23,1 wk ahead inc case,2020-11-28,45,quantile,0.25,7701.5887451171875,14324.0
62,2020-11-23,1 wk ahead inc case,2020-11-28,45,quantile,0.5,11879.28173828125,14324.0
64,2020-11-23,1 wk ahead inc case,2020-11-28,45,quantile,0.75,15285.139404296875,14324.0
66,2020-11-23,1 wk ahead inc case,2020-11-28,45,quantile,0.9,19296.5048828125,14324.0
68,2020-11-23,1 wk ahead inc case,2020-11-28,45,quantile,0.975,21871.81689453125,14324.0
70,2020-11-23,2 wk ahead inc case,2020-12-05,45,quantile,0.025,3141.548712158203,19563.0
71,2020-11-23,2 wk ahead inc case,2020-12-05,45,point,NA,12305.57861328125,19563.0
72,2020-11-23,2 wk ahead inc case,2020-12-05,45,quantile,0.1,6237.143701171875,19563.0
74,2020-11-23,2 wk ahead inc case,2020-12-05,45,quantile,0.25,8540.691162109375,19563.0
76,2020-11-23,2 wk ahead inc case,2020-12-05,45,quantile,0.5,12305.57861328125,19563.0
78,2020-11-23,2 wk ahead inc case,2020-12-05,45,quantile,0.75,15062.252197265625,19563.0
80,2020-11-23,2 wk ahead inc case,2020-12-05,45,quantile,0.9,18647.706250000003,19563.0
82,2020-11-23,2 wk ahead inc case,2020-12-05,45,quantile,0.975,21858.101171874998,19563.0
84,2020-11-23,3 wk ahead inc case,2020-12-12,45,quantile,0.025,4269.448681640625,21740.0
85,2020-11-23,3 wk ahead inc case,2020-12-12,45,point,NA,17144.587890625,21740.0
86,2020-11-23,3 wk ahead inc case,2020-12-12,45,quantile,0.1,9142.84365234375,21740.0
88,2020-11-23,3 wk ahead inc case,2020-12-12,45,quantile,0.25,13196.952392578125,21740.0
90,2020-11-23,3 wk ahead inc case,2020-12-12,45,quantile,0.5,17144.587890625,21740.0
92,2020-11-23,3 wk ahead inc case,2020-12-12,45,quantile,0.75,22250.83642578125,21740.0
94,2020-11-23,3 wk ahead inc case,2020-12-12,45,quantile,0.9,25384.1646484375,21740.0
96,2020-11-23,3 wk ahead inc case,2020-12-12,45,quantile,0.975,27961.312841796873,21740.0
98,2020-11-23,4 wk ahead inc case,2020-12-19,45,quantile,0.025,2710.807266235352,18355.0
99,2020-11-23,4 wk ahead inc case,2020-12-19,45,point,NA,14898.1435546875,18355.0
100,2020-11-23,4 wk ahead inc case,2020-12-19,45,quantile,0.1,7414.230322265626,18355.0
102,2020-11-23,4 wk ahead inc case,2020-12-19,45,quantile,0.25,10467.176025390625,18355.0
104,2020-11-23,4 wk ahead inc case,2020-12-19,45,quantile,0.5,14898.1435546875,18355.0
106,2020-11-23,4 wk ahead inc case,2020-12-19,45,quantile,0.75,19295.234375,18355.0
108,2020-11-23,4 wk ahead inc case,2020-12-19,45,quantile,0.9,24787.05625,18355.0
110,2020-11-23,4 wk ahead inc case,2020-12-19,45,quantile,0.975,25776.81708984375,18355.0
