,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2021-01-18,1 wk ahead inc case,2021-01-23,51,quantile,0.025,9135.728393554688,33668.0
1,2021-01-18,1 wk ahead inc case,2021-01-23,51,point,NA,28555.5654296875,33668.0
2,2021-01-18,1 wk ahead inc case,2021-01-23,51,quantile,0.1,9203.7009765625,33668.0
4,2021-01-18,1 wk ahead inc case,2021-01-23,51,quantile,0.25,18286.94677734375,33668.0
6,2021-01-18,1 wk ahead inc case,2021-01-23,51,quantile,0.5,28555.5654296875,33668.0
8,2021-01-18,1 wk ahead inc case,2021-01-23,51,quantile,0.75,38574.93359375,33668.0
10,2021-01-18,1 wk ahead inc case,2021-01-23,51,quantile,0.9,43738.16015625,33668.0
12,2021-01-18,1 wk ahead inc case,2021-01-23,51,quantile,0.975,52087.19580078125,33668.0
14,2021-01-18,2 wk ahead inc case,2021-01-30,51,quantile,0.025,11083.959130859375,23975.0
15,2021-01-18,2 wk ahead inc case,2021-01-30,51,point,NA,34749.15234375,23975.0
16,2021-01-18,2 wk ahead inc case,2021-01-30,51,quantile,0.1,19970.49365234375,23975.0
18,2021-01-18,2 wk ahead inc case,2021-01-30,51,quantile,0.25,24385.810546875,23975.0
20,2021-01-18,2 wk ahead inc case,2021-01-30,51,quantile,0.5,34749.15234375,23975.0
22,2021-01-18,2 wk ahead inc case,2021-01-30,51,quantile,0.75,45424.025390625,23975.0
24,2021-01-18,2 wk ahead inc case,2021-01-30,51,quantile,0.9,52054.516015625006,23975.0
26,2021-01-18,2 wk ahead inc case,2021-01-30,51,quantile,0.975,58634.55507812499,23975.0
28,2021-01-18,3 wk ahead inc case,2021-02-06,51,quantile,0.025,11258.064721679688,21357.0
29,2021-01-18,3 wk ahead inc case,2021-02-06,51,point,NA,37385.98046875,21357.0
30,2021-01-18,3 wk ahead inc case,2021-02-06,51,quantile,0.1,21834.32890625,21357.0
32,2021-01-18,3 wk ahead inc case,2021-02-06,51,quantile,0.25,28507.02001953125,21357.0
34,2021-01-18,3 wk ahead inc case,2021-02-06,51,quantile,0.5,37385.98046875,21357.0
36,2021-01-18,3 wk ahead inc case,2021-02-06,51,quantile,0.75,51479.734375,21357.0
