,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2021-07-26,1 wk ahead inc case,2021-07-31,51,quantile,0.025,4441.833349609375,10289.0
1,2021-07-26,1 wk ahead inc case,2021-07-31,51,point,NA,18448.85546875,10289.0
2,2021-07-26,1 wk ahead inc case,2021-07-31,51,quantile,0.1,10242.402392578128,10289.0
4,2021-07-26,1 wk ahead inc case,2021-07-31,51,quantile,0.25,10886.6455078125,10289.0
6,2021-07-26,1 wk ahead inc case,2021-07-31,51,quantile,0.5,18448.85546875,10289.0
8,2021-07-26,1 wk ahead inc case,2021-07-31,51,quantile,0.75,18448.85546875,10289.0
10,2021-07-26,1 wk ahead inc case,2021-07-31,51,quantile,0.9,18448.85546875,10289.0
12,2021-07-26,1 wk ahead inc case,2021-07-31,51,quantile,0.975,18451.927734375,10289.0
14,2021-07-26,2 wk ahead inc case,2021-08-07,51,quantile,0.025,11438.460571289062,13181.0
15,2021-07-26,2 wk ahead inc case,2021-08-07,51,point,NA,21372.849609375,13181.0
16,2021-07-26,2 wk ahead inc case,2021-08-07,51,quantile,0.1,12386.30908203125,13181.0
18,2021-07-26,2 wk ahead inc case,2021-08-07,51,quantile,0.25,13148.97412109375,13181.0
20,2021-07-26,2 wk ahead inc case,2021-08-07,51,quantile,0.5,21372.849609375,13181.0
22,2021-07-26,2 wk ahead inc case,2021-08-07,51,quantile,0.75,23382.546875,13181.0
24,2021-07-26,2 wk ahead inc case,2021-08-07,51,quantile,0.9,23382.546875,13181.0
26,2021-07-26,2 wk ahead inc case,2021-08-07,51,quantile,0.975,23382.546875,13181.0
28,2021-07-26,3 wk ahead inc case,2021-08-14,51,quantile,0.025,12322.85869140625,16258.0
29,2021-07-26,3 wk ahead inc case,2021-08-14,51,point,NA,23641.486328125,16258.0
30,2021-07-26,3 wk ahead inc case,2021-08-14,51,quantile,0.1,14726.4697265625,16258.0
32,2021-07-26,3 wk ahead inc case,2021-08-14,51,quantile,0.25,16147.3779296875,16258.0
34,2021-07-26,3 wk ahead inc case,2021-08-14,51,quantile,0.5,23641.486328125,16258.0
36,2021-07-26,3 wk ahead inc case,2021-08-14,51,quantile,0.75,26981.26171875,16258.0
38,2021-07-26,3 wk ahead inc case,2021-08-14,51,quantile,0.9,29557.822265625,16258.0
40,2021-07-26,3 wk ahead inc case,2021-08-14,51,quantile,0.975,29557.822265625,16258.0
42,2021-07-26,4 wk ahead inc case,2021-08-21,51,quantile,0.025,14675.073291015626,20575.0
43,2021-07-26,4 wk ahead inc case,2021-08-21,51,point,NA,28306.615234375,20575.0
44,2021-07-26,4 wk ahead inc case,2021-08-21,51,quantile,0.1,16004.4140625,20575.0
46,2021-07-26,4 wk ahead inc case,2021-08-21,51,quantile,0.25,18390.037109375,20575.0
48,2021-07-26,4 wk ahead inc case,2021-08-21,51,quantile,0.5,28306.615234375,20575.0
50,2021-07-26,4 wk ahead inc case,2021-08-21,51,quantile,0.75,32993.4248046875,20575.0
52,2021-07-26,4 wk ahead inc case,2021-08-21,51,quantile,0.9,37236.53125,20575.0
54,2021-07-26,4 wk ahead inc case,2021-08-21,51,quantile,0.975,37236.53125,20575.0
56,2021-07-26,1 wk ahead inc case,2021-07-31,45,quantile,0.025,2646.325927734375,17163.0
57,2021-07-26,1 wk ahead inc case,2021-07-31,45,point,NA,27269.6484375,17163.0
58,2021-07-26,1 wk ahead inc case,2021-07-31,45,quantile,0.1,11081.9658203125,17163.0
60,2021-07-26,1 wk ahead inc case,2021-07-31,45,quantile,0.25,18853.607421875,17163.0
