,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2021-03-15,1 wk ahead inc case,2021-03-20,51,quantile,0.025,754.1734549790624,10284.0
1,2021-03-15,1 wk ahead inc case,2021-03-20,51,point,NA,10518.99755859375,10284.0
2,2021-03-15,1 wk ahead inc case,2021-03-20,51,quantile,0.1,3500.11943359375,10284.0
4,2021-03-15,1 wk ahead inc case,2021-03-20,51,quantile,0.25,7028.215576171875,10284.0
6,2021-03-15,1 wk ahead inc case,2021-03-20,51,quantile,0.5,10518.99755859375,10284.0
8,2021-03-15,1 wk ahead inc case,2021-03-20,51,quantile,0.75,11446.903076171875,10284.0
10,2021-03-15,1 wk ahead inc case,2021-03-20,51,quantile,0.9,14088.656152343752,10284.0
12,2021-03-15,1 wk ahead inc case,2021-03-20,51,quantile,0.975,14974.76416015625,10284.0
14,2021-03-15,2 wk ahead inc case,2021-03-27,51,quantile,0.025,3030.395538330078,9997.0
15,2021-03-15,2 wk ahead inc case,2021-03-27,51,point,NA,8574.31689453125,9997.0
16,2021-03-15,2 wk ahead inc case,2021-03-27,51,quantile,0.1,5585.094873046874,9997.0
18,2021-03-15,2 wk ahead inc case,2021-03-27,51,quantile,0.25,6226.751708984375,9997.0
20,2021-03-15,2 wk ahead inc case,2021-03-27,51,quantile,0.5,8574.31689453125,9997.0
22,2021-03-15,2 wk ahead inc case,2021-03-27,51,quantile,0.75,11933.47998046875,9997.0
24,2021-03-15,2 wk ahead inc case,2021-03-27,51,quantile,0.9,12327.9169921875,9997.0
26,2021-03-15,2 wk ahead inc case,2021-03-27,51,quantile,0.975,15026.64970703125,9997.0
28,2021-03-15,3 wk ahead inc case,2021-04-03,51,quantile,0.025,657.0287349700931,10604.0
29,2021-03-15,3 wk ahead inc case,2021-04-03,51,point,NA,5727.43017578125,10604.0
30,2021-03-15,3 wk ahead inc case,2021-04-03,51,quantile,0.1,2593.123608398437,10604.0
32,2021-03-15,3 wk ahead inc case,2021-04-03,51,quantile,0.25,2904.22802734375,10604.0
34,2021-03-15,3 wk ahead inc case,2021-04-03,51,quantile,0.5,5727.43017578125,10604.0
36,2021-03-15,3 wk ahead inc case,2021-04-03,51,quantile,0.75,8519.953857421875,10604.0
38,2021-03-15,3 wk ahead inc case,2021-04-03,51,quantile,0.9,11010.2447265625,10604.0
40,2021-03-15,3 wk ahead inc case,2021-04-03,51,quantile,0.975,12928.117895507808,10604.0
42,2021-03-15,4 wk ahead inc case,2021-04-10,51,quantile,0.025,2734.9231140136717,10649.0
43,2021-03-15,4 wk ahead inc case,2021-04-10,51,point,NA,6502.8486328125,10649.0
44,2021-03-15,4 wk ahead inc case,2021-04-10,51,quantile,0.1,2988.0385986328124,10649.0
46,2021-03-15,4 wk ahead inc case,2021-04-10,51,quantile,0.25,5746.193603515625,10649.0
48,2021-03-15,4 wk ahead inc case,2021-04-10,51,quantile,0.5,6502.8486328125,10649.0
50,2021-03-15,4 wk ahead inc case,2021-04-10,51,quantile,0.75,9318.387451171875,10649.0
52,2021-03-15,4 wk ahead inc case,2021-04-10,51,quantile,0.9,11578.94775390625,10649.0
54,2021-03-15,4 wk ahead inc case,2021-04-10,51,quantile,0.975,12091.293359375,10649.0
56,2021-03-15,1 wk ahead inc case,2021-03-20,45,quantile,0.025,3675.2553100585938,7731.0
57,2021-03-15,1 wk ahead inc case,2021-03-20,45,point,NA,8650.77392578125,7731.0
58,2021-03-15,1 wk ahead inc case,2021-03-20,45,quantile,0.1,3801.229248046875,7731.0
60,2021-03-15,1 wk ahead inc case,2021-03-20,45,quantile,0.25,7631.0546875,7731.0
62,2021-03-15,1 wk ahead inc case,2021-03-20,45,quantile,0.5,8650.77392578125,7731.0
64,2021-03-15,1 wk ahead inc case,2021-03-20,45,quantile,0.75,12287.484375,7731.0
66,2021-03-15,1 wk ahead inc case,2021-03-20,45,quantile,0.9,16065.89921875,7731.0
68,2021-03-15,1 wk ahead inc case,2021-03-20,45,quantile,0.975,19052.742504882808,7731.0
70,2021-03-15,2 wk ahead inc case,2021-03-27,45,quantile,0.025,2501.671844482422,7208.0
71,2021-03-15,2 wk ahead inc case,2021-03-27,45,point,NA,5879.837890625,7208.0
72,2021-03-15,2 wk ahead inc case,2021-03-27,45,quantile,0.1,2717.774609375,7208.0
74,2021-03-15,2 wk ahead inc case,2021-03-27,45,quantile,0.25,5177.0880126953125,7208.0
