,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2021-05-10,1 wk ahead inc case,2021-05-15,51,quantile,0.025,2243.91171875,3007.0
1,2021-05-10,1 wk ahead inc case,2021-05-15,51,point,NA,6031.23876953125,3007.0
2,2021-05-10,1 wk ahead inc case,2021-05-15,51,quantile,0.1,3106.3140869140625,3007.0
4,2021-05-10,1 wk ahead inc case,2021-05-15,51,quantile,0.25,3798.6747436523438,3007.0
6,2021-05-10,1 wk ahead inc case,2021-05-15,51,quantile,0.5,6031.23876953125,3007.0
8,2021-05-10,1 wk ahead inc case,2021-05-15,51,quantile,0.75,7180.54443359375,3007.0
10,2021-05-10,1 wk ahead inc case,2021-05-15,51,quantile,0.9,8451.301953125,3007.0
12,2021-05-10,1 wk ahead inc case,2021-05-15,51,quantile,0.975,8800.05439453125,3007.0
14,2021-05-10,2 wk ahead inc case,2021-05-22,51,quantile,0.025,386.2322864584626,2643.0
15,2021-05-10,2 wk ahead inc case,2021-05-22,51,point,NA,5067.229248046875,2643.0
16,2021-05-10,2 wk ahead inc case,2021-05-22,51,quantile,0.1,2567.9681640625,2643.0
18,2021-05-10,2 wk ahead inc case,2021-05-22,51,quantile,0.25,4220.9317626953125,2643.0
20,2021-05-10,2 wk ahead inc case,2021-05-22,51,quantile,0.5,5067.229248046875,2643.0
22,2021-05-10,2 wk ahead inc case,2021-05-22,51,quantile,0.75,6354.296142578125,2643.0
24,2021-05-10,2 wk ahead inc case,2021-05-22,51,quantile,0.9,7595.952050781251,2643.0
26,2021-05-10,2 wk ahead inc case,2021-05-22,51,quantile,0.975,8591.807690429687,2643.0
28,2021-05-10,3 wk ahead inc case,2021-05-29,51,quantile,0.025,990.5897018432618,1663.0
29,2021-05-10,3 wk ahead inc case,2021-05-29,51,point,NA,4057.7232666015625,1663.0
30,2021-05-10,3 wk ahead inc case,2021-05-29,51,quantile,0.1,2501.596435546875,1663.0
32,2021-05-10,3 wk ahead inc case,2021-05-29,51,quantile,0.25,3277.0101928710938,1663.0
34,2021-05-10,3 wk ahead inc case,2021-05-29,51,quantile,0.5,4057.7232666015625,1663.0
36,2021-05-10,3 wk ahead inc case,2021-05-29,51,quantile,0.75,4958.031494140625,1663.0
38,2021-05-10,3 wk ahead inc case,2021-05-29,51,quantile,0.9,5859.681494140625,1663.0
40,2021-05-10,3 wk ahead inc case,2021-05-29,51,quantile,0.975,6494.720544433593,1663.0
42,2021-05-10,4 wk ahead inc case,2021-06-05,51,quantile,0.025,788.541714477539,1307.0
43,2021-05-10,4 wk ahead inc case,2021-06-05,51,point,NA,2611.7947998046875,1307.0
