,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2021-04-05,1 wk ahead inc case,2021-04-10,51,quantile,0.025,2553.222790527344,10649.0
1,2021-04-05,1 wk ahead inc case,2021-04-10,51,point,NA,6691.943603515625,10649.0
2,2021-04-05,1 wk ahead inc case,2021-04-10,51,quantile,0.1,2887.268701171875,10649.0
4,2021-04-05,1 wk ahead inc case,2021-04-10,51,quantile,0.25,5353.0296630859375,10649.0
6,2021-04-05,1 wk ahead inc case,2021-04-10,51,quantile,0.5,6691.943603515625,10649.0
8,2021-04-05,1 wk ahead inc case,2021-04-10,51,quantile,0.75,9665.2587890625,10649.0
10,2021-04-05,1 wk ahead inc case,2021-04-10,51,quantile,0.9,12335.4126953125,10649.0
12,2021-04-05,1 wk ahead inc case,2021-04-10,51,quantile,0.975,12663.069897460939,10649.0
14,2021-04-05,2 wk ahead inc case,2021-04-17,51,quantile,0.025,2862.4271728515623,8649.0
15,2021-04-05,2 wk ahead inc case,2021-04-17,51,point,NA,8424.2587890625,8649.0
16,2021-04-05,2 wk ahead inc case,2021-04-17,51,quantile,0.1,3118.955126953125,8649.0
18,2021-04-05,2 wk ahead inc case,2021-04-17,51,quantile,0.25,5734.600830078125,8649.0
20,2021-04-05,2 wk ahead inc case,2021-04-17,51,quantile,0.5,8424.2587890625,8649.0
22,2021-04-05,2 wk ahead inc case,2021-04-17,51,quantile,0.75,9750.784912109375,8649.0
24,2021-04-05,2 wk ahead inc case,2021-04-17,51,quantile,0.9,12140.483984375,8649.0
26,2021-04-05,2 wk ahead inc case,2021-04-17,51,quantile,0.975,12196.520629882812,8649.0
28,2021-04-05,3 wk ahead inc case,2021-04-24,51,quantile,0.025,535.794829168916,7277.0
29,2021-04-05,3 wk ahead inc case,2021-04-24,51,point,NA,6221.98779296875,7277.0
30,2021-04-05,3 wk ahead inc case,2021-04-24,51,quantile,0.1,2786.5715820312503,7277.0
32,2021-04-05,3 wk ahead inc case,2021-04-24,51,quantile,0.25,5225.703125,7277.0
34,2021-04-05,3 wk ahead inc case,2021-04-24,51,quantile,0.5,6221.98779296875,7277.0
36,2021-04-05,3 wk ahead inc case,2021-04-24,51,quantile,0.75,9150.912841796875,7277.0
38,2021-04-05,3 wk ahead inc case,2021-04-24,51,quantile,0.9,10979.240917968751,7277.0
40,2021-04-05,3 wk ahead inc case,2021-04-24,51,quantile,0.975,11844.553881835938,7277.0
42,2021-04-05,4 wk ahead inc case,2021-05-01,51,quantile,0.025,2524.588250732422,5672.0
43,2021-04-05,4 wk ahead inc case,2021-05-01,51,point,NA,8838.70556640625,5672.0
44,2021-04-05,4 wk ahead inc case,2021-05-01,51,quantile,0.1,2857.1367919921877,5672.0
46,2021-04-05,4 wk ahead inc case,2021-05-01,51,quantile,0.25,5499.244140625,5672.0
48,2021-04-05,4 wk ahead inc case,2021-05-01,51,quantile,0.5,8838.70556640625,5672.0
50,2021-04-05,4 wk ahead inc case,2021-05-01,51,quantile,0.75,11578.60546875,5672.0
52,2021-04-05,4 wk ahead inc case,2021-05-01,51,quantile,0.9,12526.069433593751,5672.0
54,2021-04-05,4 wk ahead inc case,2021-05-01,51,quantile,0.975,15468.168627929688,5672.0
56,2021-04-05,1 wk ahead inc case,2021-04-10,45,quantile,0.025,1869.3243194580077,6489.0
57,2021-04-05,1 wk ahead inc case,2021-04-10,45,point,NA,6926.27978515625,6489.0
58,2021-04-05,1 wk ahead inc case,2021-04-10,45,quantile,0.1,3894.482592773438,6489.0
60,2021-04-05,1 wk ahead inc case,2021-04-10,45,quantile,0.25,4814.427734375,6489.0
62,2021-04-05,1 wk ahead inc case,2021-04-10,45,quantile,0.5,6926.27978515625,6489.0
64,2021-04-05,1 wk ahead inc case,2021-04-10,45,quantile,0.75,8940.330322265625,6489.0
66,2021-04-05,1 wk ahead inc case,2021-04-10,45,quantile,0.9,9331.24697265625,6489.0
68,2021-04-05,1 wk ahead inc case,2021-04-10,45,quantile,0.975,11442.534033203125,6489.0
70,2021-04-05,2 wk ahead inc case,2021-04-17,45,quantile,0.025,485.03916589319726,5968.0
71,2021-04-05,2 wk ahead inc case,2021-04-17,45,point,NA,6334.154052734375,5968.0
72,2021-04-05,2 wk ahead inc case,2021-04-17,45,quantile,0.1,2345.9346923828125,5968.0
74,2021-04-05,2 wk ahead inc case,2021-04-17,45,quantile,0.25,4321.2510986328125,5968.0
76,2021-04-05,2 wk ahead inc case,2021-04-17,45,quantile,0.5,6334.154052734375,5968.0
78,2021-04-05,2 wk ahead inc case,2021-04-17,45,quantile,0.75,7331.8636474609375,5968.0
80,2021-04-05,2 wk ahead inc case,2021-04-17,45,quantile,0.9,8957.05205078125,5968.0
82,2021-04-05,2 wk ahead inc case,2021-04-17,45,quantile,0.975,9440.907666015624,5968.0
84,2021-04-05,3 wk ahead inc case,2021-04-24,45,quantile,0.025,2008.6530059814454,5333.0
85,2021-04-05,3 wk ahead inc case,2021-04-24,45,point,NA,5906.16015625,5333.0
86,2021-04-05,3 wk ahead inc case,2021-04-24,45,quantile,0.1,3614.9815917968754,5333.0
88,2021-04-05,3 wk ahead inc case,2021-04-24,45,quantile,0.25,4164.536865234375,5333.0
90,2021-04-05,3 wk ahead inc case,2021-04-24,45,quantile,0.5,5906.16015625,5333.0
92,2021-04-05,3 wk ahead inc case,2021-04-24,45,quantile,0.75,7613.5120849609375,5333.0
94,2021-04-05,3 wk ahead inc case,2021-04-24,45,quantile,0.9,8550.73369140625,5333.0
96,2021-04-05,3 wk ahead inc case,2021-04-24,45,quantile,0.975,10129.676220703122,5333.0
98,2021-04-05,4 wk ahead inc case,2021-05-01,45,quantile,0.025,1550.2256469726562,4446.0
99,2021-04-05,4 wk ahead inc case,2021-05-01,45,point,NA,4200.562744140625,4446.0
100,2021-04-05,4 wk ahead inc case,2021-05-01,45,quantile,0.1,1777.8172485351563,4446.0
102,2021-04-05,4 wk ahead inc case,2021-05-01,45,quantile,0.25,3539.383544921875,4446.0
104,2021-04-05,4 wk ahead inc case,2021-05-01,45,quantile,0.5,4200.562744140625,4446.0
106,2021-04-05,4 wk ahead inc case,2021-05-01,45,quantile,0.75,5958.580322265625,4446.0
108,2021-04-05,4 wk ahead inc case,2021-05-01,45,quantile,0.9,7524.225537109374,4446.0
110,2021-04-05,4 wk ahead inc case,2021-05-01,45,quantile,0.975,7719.603100585938,4446.0
112,2021-04-05,1 wk ahead inc case,2021-04-10,37,quantile,0.025,0.687962232530117,14324.0
113,2021-04-05,1 wk ahead inc case,2021-04-10,37,point,NA,8006.025390625,14324.0
114,2021-04-05,1 wk ahead inc case,2021-04-10,37,quantile,0.1,3444.6032470703126,14324.0
116,2021-04-05,1 wk ahead inc case,2021-04-10,37,quantile,0.25,6483.82763671875,14324.0
118,2021-04-05,1 wk ahead inc case,2021-04-10,37,quantile,0.5,8006.025390625,14324.0
120,2021-04-05,1 wk ahead inc case,2021-04-10,37,quantile,0.75,11324.557861328125,14324.0
122,2021-04-05,1 wk ahead inc case,2021-04-10,37,quantile,0.9,14516.71904296875,14324.0
124,2021-04-05,1 wk ahead inc case,2021-04-10,37,quantile,0.975,15334.125390624999,14324.0
126,2021-04-05,2 wk ahead inc case,2021-04-17,37,quantile,0.025,2868.865826416016,13243.0
127,2021-04-05,2 wk ahead inc case,2021-04-17,37,point,NA,6616.102783203125,13243.0
128,2021-04-05,2 wk ahead inc case,2021-04-17,37,quantile,0.1,3697.0127685546877,13243.0
130,2021-04-05,2 wk ahead inc case,2021-04-17,37,quantile,0.25,5652.464111328125,13243.0
132,2021-04-05,2 wk ahead inc case,2021-04-17,37,quantile,0.5,6616.102783203125,13243.0
134,2021-04-05,2 wk ahead inc case,2021-04-17,37,quantile,0.75,9578.408447265625,13243.0
136,2021-04-05,2 wk ahead inc case,2021-04-17,37,quantile,0.9,12106.83369140625,13243.0
138,2021-04-05,2 wk ahead inc case,2021-04-17,37,quantile,0.975,14408.343652343747,13243.0
140,2021-04-05,3 wk ahead inc case,2021-04-24,37,quantile,0.025,0.671852320432663,12825.0
141,2021-04-05,3 wk ahead inc case,2021-04-24,37,point,NA,6197.02880859375,12825.0
142,2021-04-05,3 wk ahead inc case,2021-04-24,37,quantile,0.1,2537.1426513671877,12825.0
144,2021-04-05,3 wk ahead inc case,2021-04-24,37,quantile,0.25,3910.7670288085938,12825.0
146,2021-04-05,3 wk ahead inc case,2021-04-24,37,quantile,0.5,6197.02880859375,12825.0
148,2021-04-05,3 wk ahead inc case,2021-04-24,37,quantile,0.75,8673.82666015625,12825.0
150,2021-04-05,3 wk ahead inc case,2021-04-24,37,quantile,0.9,10047.8130859375,12825.0
152,2021-04-05,3 wk ahead inc case,2021-04-24,37,quantile,0.975,11292.308935546873,12825.0
154,2021-04-05,4 wk ahead inc case,2021-05-01,37,quantile,0.025,3165.8037841796877,10726.0
155,2021-04-05,4 wk ahead inc case,2021-05-01,37,point,NA,8549.337890625,10726.0
156,2021-04-05,4 wk ahead inc case,2021-05-01,37,quantile,0.1,3698.4553466796874,10726.0
158,2021-04-05,4 wk ahead inc case,2021-05-01,37,quantile,0.25,7334.6998291015625,10726.0
160,2021-04-05,4 wk ahead inc case,2021-05-01,37,quantile,0.5,8549.337890625,10726.0
162,2021-04-05,4 wk ahead inc case,2021-05-01,37,quantile,0.75,12179.544677734375,10726.0
164,2021-04-05,4 wk ahead inc case,2021-05-01,37,quantile,0.9,14647.136230468752,10726.0
166,2021-04-05,4 wk ahead inc case,2021-05-01,37,quantile,0.975,18576.344042968743,10726.0
168,2021-04-05,1 wk ahead inc case,2021-04-10,13,quantile,0.025,3145.137103271484,10409.0
169,2021-04-05,1 wk ahead inc case,2021-04-10,13,point,NA,10455.28076171875,10409.0
170,2021-04-05,1 wk ahead inc case,2021-04-10,13,quantile,0.1,4124.218505859375,10409.0
172,2021-04-05,1 wk ahead inc case,2021-04-10,13,quantile,0.25,6534.9361572265625,10409.0
174,2021-04-05,1 wk ahead inc case,2021-04-10,13,quantile,0.5,10455.28076171875,10409.0
176,2021-04-05,1 wk ahead inc case,2021-04-10,13,quantile,0.75,12807.89794921875,10409.0
178,2021-04-05,1 wk ahead inc case,2021-04-10,13,quantile,0.9,13327.6859375,10409.0
180,2021-04-05,1 wk ahead inc case,2021-04-10,13,quantile,0.975,15791.098974609371,10409.0
