,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2021-07-12,1 wk ahead inc case,2021-07-17,51,quantile,0.025,295.5987007141113,3880.0
1,2021-07-12,1 wk ahead inc case,2021-07-17,51,point,NA,946.5507202148438,3880.0
2,2021-07-12,1 wk ahead inc case,2021-07-17,51,quantile,0.1,415.9192352294922,3880.0
4,2021-07-12,1 wk ahead inc case,2021-07-17,51,quantile,0.25,524.1775054931641,3880.0
6,2021-07-12,1 wk ahead inc case,2021-07-17,51,quantile,0.5,946.5507202148438,3880.0
8,2021-07-12,1 wk ahead inc case,2021-07-17,51,quantile,0.75,1334.2188110351562,3880.0
10,2021-07-12,1 wk ahead inc case,2021-07-17,51,quantile,0.9,1654.0402954101562,3880.0
12,2021-07-12,1 wk ahead inc case,2021-07-17,51,quantile,0.975,1848.580920410156,3880.0
14,2021-07-12,2 wk ahead inc case,2021-07-24,51,quantile,0.025,86.24708431139591,6202.0
15,2021-07-12,2 wk ahead inc case,2021-07-24,51,point,NA,876.5651245117188,6202.0
16,2021-07-12,2 wk ahead inc case,2021-07-24,51,quantile,0.1,407.72023315429686,6202.0
18,2021-07-12,2 wk ahead inc case,2021-07-24,51,quantile,0.25,691.2373809814453,6202.0
20,2021-07-12,2 wk ahead inc case,2021-07-24,51,quantile,0.5,876.5651245117188,6202.0
22,2021-07-12,2 wk ahead inc case,2021-07-24,51,quantile,0.75,1261.4235229492188,6202.0
24,2021-07-12,2 wk ahead inc case,2021-07-24,51,quantile,0.9,1630.9563110351564,6202.0
26,2021-07-12,2 wk ahead inc case,2021-07-24,51,quantile,0.975,1997.9155029296876,6202.0
28,2021-07-12,3 wk ahead inc case,2021-07-31,51,quantile,0.025,75.77638684213164,10289.0
29,2021-07-12,3 wk ahead inc case,2021-07-31,51,point,NA,1095.9107666015625,10289.0
30,2021-07-12,3 wk ahead inc case,2021-07-31,51,quantile,0.1,504.3479797363281,10289.0
32,2021-07-12,3 wk ahead inc case,2021-07-31,51,quantile,0.25,656.7826232910156,10289.0
34,2021-07-12,3 wk ahead inc case,2021-07-31,51,quantile,0.5,1095.9107666015625,10289.0
36,2021-07-12,3 wk ahead inc case,2021-07-31,51,quantile,0.75,1486.046142578125,10289.0
