,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2021-06-14,1 wk ahead inc case,2021-06-19,51,quantile,0.025,1400.584768676758,1665.0
1,2021-06-14,1 wk ahead inc case,2021-06-19,51,point,NA,2495.078857421875,1665.0
2,2021-06-14,1 wk ahead inc case,2021-06-19,51,quantile,0.1,1580.025146484375,1665.0
4,2021-06-14,1 wk ahead inc case,2021-06-19,51,quantile,0.25,2248.62451171875,1665.0
6,2021-06-14,1 wk ahead inc case,2021-06-19,51,quantile,0.5,2495.078857421875,1665.0
8,2021-06-14,1 wk ahead inc case,2021-06-19,51,quantile,0.75,2536.75732421875,1665.0
10,2021-06-14,1 wk ahead inc case,2021-06-19,51,quantile,0.9,2537.634521484375,1665.0
12,2021-06-14,1 wk ahead inc case,2021-06-19,51,quantile,0.975,2552.807373046875,1665.0
14,2021-06-14,2 wk ahead inc case,2021-06-26,51,quantile,0.025,1354.9599822998048,1530.0
15,2021-06-14,2 wk ahead inc case,2021-06-26,51,point,NA,2477.6153564453125,1530.0
16,2021-06-14,2 wk ahead inc case,2021-06-26,51,quantile,0.1,1587.1256225585937,1530.0
18,2021-06-14,2 wk ahead inc case,2021-06-26,51,quantile,0.25,2321.3751831054688,1530.0
20,2021-06-14,2 wk ahead inc case,2021-06-26,51,quantile,0.5,2477.6153564453125,1530.0
22,2021-06-14,2 wk ahead inc case,2021-06-26,51,quantile,0.75,2480.1841430664062,1530.0
24,2021-06-14,2 wk ahead inc case,2021-06-26,51,quantile,0.9,2511.6944580078125,1530.0
26,2021-06-14,2 wk ahead inc case,2021-06-26,51,quantile,0.975,2535.828649902344,1530.0
28,2021-06-14,3 wk ahead inc case,2021-07-03,51,quantile,0.025,1592.7411834716797,1896.0
29,2021-06-14,3 wk ahead inc case,2021-07-03,51,point,NA,2446.5303955078125,1896.0
30,2021-06-14,3 wk ahead inc case,2021-07-03,51,quantile,0.1,1593.34755859375,1896.0
32,2021-06-14,3 wk ahead inc case,2021-07-03,51,quantile,0.25,2209.5963745117188,1896.0
34,2021-06-14,3 wk ahead inc case,2021-07-03,51,quantile,0.5,2446.5303955078125,1896.0
36,2021-06-14,3 wk ahead inc case,2021-07-03,51,quantile,0.75,2471.6180419921875,1896.0
38,2021-06-14,3 wk ahead inc case,2021-07-03,51,quantile,0.9,2492.233642578125,1896.0
40,2021-06-14,3 wk ahead inc case,2021-07-03,51,quantile,0.975,2517.8217590332033,1896.0
42,2021-06-14,4 wk ahead inc case,2021-07-10,51,quantile,0.025,1596.003759765625,2263.0
43,2021-06-14,4 wk ahead inc case,2021-07-10,51,point,NA,2438.2119140625,2263.0
44,2021-06-14,4 wk ahead inc case,2021-07-10,51,quantile,0.1,1597.4791015625,2263.0
46,2021-06-14,4 wk ahead inc case,2021-07-10,51,quantile,0.25,2196.669189453125,2263.0
48,2021-06-14,4 wk ahead inc case,2021-07-10,51,quantile,0.5,2438.2119140625,2263.0
50,2021-06-14,4 wk ahead inc case,2021-07-10,51,quantile,0.75,2470.8179321289062,2263.0
52,2021-06-14,4 wk ahead inc case,2021-07-10,51,quantile,0.9,2489.653173828125,2263.0
54,2021-06-14,4 wk ahead inc case,2021-07-10,51,quantile,0.975,2518.6213317871093,2263.0
56,2021-06-14,1 wk ahead inc case,2021-06-19,45,quantile,0.025,975.0168685913086,782.0
57,2021-06-14,1 wk ahead inc case,2021-06-19,45,point,NA,1322.5543212890625,782.0
58,2021-06-14,1 wk ahead inc case,2021-06-19,45,quantile,0.1,1126.1594970703125,782.0
60,2021-06-14,1 wk ahead inc case,2021-06-19,45,quantile,0.25,1209.42431640625,782.0
62,2021-06-14,1 wk ahead inc case,2021-06-19,45,quantile,0.5,1322.5543212890625,782.0
64,2021-06-14,1 wk ahead inc case,2021-06-19,45,quantile,0.75,1425.37841796875,782.0
66,2021-06-14,1 wk ahead inc case,2021-06-19,45,quantile,0.9,1425.37841796875,782.0
68,2021-06-14,1 wk ahead inc case,2021-06-19,45,quantile,0.975,1425.37841796875,782.0
70,2021-06-14,2 wk ahead inc case,2021-06-26,45,quantile,0.025,1105.9516571044921,1137.0
71,2021-06-14,2 wk ahead inc case,2021-06-26,45,point,NA,1318.853759765625,1137.0
72,2021-06-14,2 wk ahead inc case,2021-06-26,45,quantile,0.1,1148.606787109375,1137.0
74,2021-06-14,2 wk ahead inc case,2021-06-26,45,quantile,0.25,1215.4361267089844,1137.0
76,2021-06-14,2 wk ahead inc case,2021-06-26,45,quantile,0.5,1318.853759765625,1137.0
78,2021-06-14,2 wk ahead inc case,2021-06-26,45,quantile,0.75,1391.7027587890625,1137.0
80,2021-06-14,2 wk ahead inc case,2021-06-26,45,quantile,0.9,1401.216796875,1137.0
82,2021-06-14,2 wk ahead inc case,2021-06-26,45,quantile,0.975,1403.515591430664,1137.0
84,2021-06-14,3 wk ahead inc case,2021-07-03,45,quantile,0.025,1107.2283721923827,1686.0
85,2021-06-14,3 wk ahead inc case,2021-07-03,45,point,NA,1303.8280639648438,1686.0
86,2021-06-14,3 wk ahead inc case,2021-07-03,45,quantile,0.1,1186.61669921875,1686.0
88,2021-06-14,3 wk ahead inc case,2021-07-03,45,quantile,0.25,1217.6897277832031,1686.0
90,2021-06-14,3 wk ahead inc case,2021-07-03,45,quantile,0.5,1303.8280639648438,1686.0
92,2021-06-14,3 wk ahead inc case,2021-07-03,45,quantile,0.75,1367.5000610351562,1686.0
94,2021-06-14,3 wk ahead inc case,2021-07-03,45,quantile,0.9,1376.52919921875,1686.0
96,2021-06-14,3 wk ahead inc case,2021-07-03,45,quantile,0.975,1390.4204406738281,1686.0
98,2021-06-14,4 wk ahead inc case,2021-07-10,45,quantile,0.025,1063.6999053955078,2895.0
99,2021-06-14,4 wk ahead inc case,2021-07-10,45,point,NA,1292.3687133789062,2895.0
100,2021-06-14,4 wk ahead inc case,2021-07-10,45,quantile,0.1,1124.9919311523438,2895.0
102,2021-06-14,4 wk ahead inc case,2021-07-10,45,quantile,0.25,1199.4141845703125,2895.0
104,2021-06-14,4 wk ahead inc case,2021-07-10,45,quantile,0.5,1292.3687133789062,2895.0
106,2021-06-14,4 wk ahead inc case,2021-07-10,45,quantile,0.75,1359.4212341308594,2895.0
108,2021-06-14,4 wk ahead inc case,2021-07-10,45,quantile,0.9,1368.7384521484375,2895.0
110,2021-06-14,4 wk ahead inc case,2021-07-10,45,quantile,0.975,1375.8902648925782,2895.0
112,2021-06-14,1 wk ahead inc case,2021-06-19,37,quantile,0.025,2655.4005737304688,2316.0
113,2021-06-14,1 wk ahead inc case,2021-06-19,37,point,NA,3085.066162109375,2316.0
114,2021-06-14,1 wk ahead inc case,2021-06-19,37,quantile,0.1,2700.8786865234374,2316.0
116,2021-06-14,1 wk ahead inc case,2021-06-19,37,quantile,0.25,2823.72119140625,2316.0
118,2021-06-14,1 wk ahead inc case,2021-06-19,37,quantile,0.5,3085.066162109375,2316.0
120,2021-06-14,1 wk ahead inc case,2021-06-19,37,quantile,0.75,3241.393310546875,2316.0
122,2021-06-14,1 wk ahead inc case,2021-06-19,37,quantile,0.9,3281.568115234375,2316.0
124,2021-06-14,1 wk ahead inc case,2021-06-19,37,quantile,0.975,3319.5186401367187,2316.0
126,2021-06-14,2 wk ahead inc case,2021-06-26,37,quantile,0.025,2396.41591796875,2203.0
127,2021-06-14,2 wk ahead inc case,2021-06-26,37,point,NA,3040.4228515625,2203.0
128,2021-06-14,2 wk ahead inc case,2021-06-26,37,quantile,0.1,2619.3130859375,2203.0
130,2021-06-14,2 wk ahead inc case,2021-06-26,37,quantile,0.25,2846.57275390625,2203.0
132,2021-06-14,2 wk ahead inc case,2021-06-26,37,quantile,0.5,3040.4228515625,2203.0
134,2021-06-14,2 wk ahead inc case,2021-06-26,37,quantile,0.75,3186.1998901367188,2203.0
136,2021-06-14,2 wk ahead inc case,2021-06-26,37,quantile,0.9,3219.548046875,2203.0
138,2021-06-14,2 wk ahead inc case,2021-06-26,37,quantile,0.975,3235.1562072753904,2203.0
140,2021-06-14,3 wk ahead inc case,2021-07-03,37,quantile,0.025,2480.7182495117186,3150.0
141,2021-06-14,3 wk ahead inc case,2021-07-03,37,point,NA,2907.1953125,3150.0
142,2021-06-14,3 wk ahead inc case,2021-07-03,37,quantile,0.1,2714.801416015625,3150.0
144,2021-06-14,3 wk ahead inc case,2021-07-03,37,quantile,0.25,2825.8412475585938,3150.0
146,2021-06-14,3 wk ahead inc case,2021-07-03,37,quantile,0.5,2907.1953125,3150.0
148,2021-06-14,3 wk ahead inc case,2021-07-03,37,quantile,0.75,3035.5838623046875,3150.0
150,2021-06-14,3 wk ahead inc case,2021-07-03,37,quantile,0.9,3153.3122314453126,3150.0
