,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2021-01-04,1 wk ahead inc case,2021-01-09,51,quantile,0.025,18687.67177734375,35727.0
1,2021-01-04,1 wk ahead inc case,2021-01-09,51,point,NA,41880.71484375,35727.0
2,2021-01-04,1 wk ahead inc case,2021-01-09,51,quantile,0.1,24250.528125,35727.0
4,2021-01-04,1 wk ahead inc case,2021-01-09,51,quantile,0.25,33925.19921875,35727.0
6,2021-01-04,1 wk ahead inc case,2021-01-09,51,quantile,0.5,41880.71484375,35727.0
8,2021-01-04,1 wk ahead inc case,2021-01-09,51,quantile,0.75,49364.48046875,35727.0
10,2021-01-04,1 wk ahead inc case,2021-01-09,51,quantile,0.9,49364.48046875,35727.0
12,2021-01-04,1 wk ahead inc case,2021-01-09,51,quantile,0.975,49393.3359375,35727.0
14,2021-01-04,2 wk ahead inc case,2021-01-16,51,quantile,0.025,20953.00322265625,39312.0
15,2021-01-04,2 wk ahead inc case,2021-01-16,51,point,NA,42514.205078125,39312.0
16,2021-01-04,2 wk ahead inc case,2021-01-16,51,quantile,0.1,25325.828125,39312.0
18,2021-01-04,2 wk ahead inc case,2021-01-16,51,quantile,0.25,36902.3056640625,39312.0
20,2021-01-04,2 wk ahead inc case,2021-01-16,51,quantile,0.5,42514.205078125,39312.0
22,2021-01-04,2 wk ahead inc case,2021-01-16,51,quantile,0.75,52211.40625,39312.0
24,2021-01-04,2 wk ahead inc case,2021-01-16,51,quantile,0.9,53746.941015625,39312.0
26,2021-01-04,2 wk ahead inc case,2021-01-16,51,quantile,0.975,54366.82421875,39312.0
28,2021-01-04,3 wk ahead inc case,2021-01-23,51,quantile,0.025,27907.840185546876,33668.0
29,2021-01-04,3 wk ahead inc case,2021-01-23,51,point,NA,47480.185546875,33668.0
30,2021-01-04,3 wk ahead inc case,2021-01-23,51,quantile,0.1,37193.59375,33668.0
32,2021-01-04,3 wk ahead inc case,2021-01-23,51,quantile,0.25,40179.4443359375,33668.0
34,2021-01-04,3 wk ahead inc case,2021-01-23,51,quantile,0.5,47480.185546875,33668.0
36,2021-01-04,3 wk ahead inc case,2021-01-23,51,quantile,0.75,55187.1455078125,33668.0
38,2021-01-04,3 wk ahead inc case,2021-01-23,51,quantile,0.9,57093.782031250004,33668.0
40,2021-01-04,3 wk ahead inc case,2021-01-23,51,quantile,0.975,58048.95009765625,33668.0
42,2021-01-04,4 wk ahead inc case,2021-01-30,51,quantile,0.025,27863.67265625,23975.0
43,2021-01-04,4 wk ahead inc case,2021-01-30,51,point,NA,52913.751953125,23975.0
