,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2021-09-06,1 wk ahead inc case,2021-09-11,51,quantile,0.025,3644.849475097656,25377.0
1,2021-09-06,1 wk ahead inc case,2021-09-11,51,point,NA,13966.5703125,25377.0
2,2021-09-06,1 wk ahead inc case,2021-09-11,51,quantile,0.1,7017.969775390625,25377.0
4,2021-09-06,1 wk ahead inc case,2021-09-11,51,quantile,0.25,8588.829467773438,25377.0
6,2021-09-06,1 wk ahead inc case,2021-09-11,51,quantile,0.5,13966.5703125,25377.0
8,2021-09-06,1 wk ahead inc case,2021-09-11,51,quantile,0.75,15257.290283203125,25377.0
10,2021-09-06,1 wk ahead inc case,2021-09-11,51,quantile,0.9,18010.4970703125,25377.0
12,2021-09-06,1 wk ahead inc case,2021-09-11,51,quantile,0.975,19156.8990234375,25377.0
14,2021-09-06,2 wk ahead inc case,2021-09-18,51,quantile,0.025,5566.662756347657,22994.0
15,2021-09-06,2 wk ahead inc case,2021-09-18,51,point,NA,17971.1171875,22994.0
16,2021-09-06,2 wk ahead inc case,2021-09-18,51,quantile,0.1,9436.049609375,22994.0
18,2021-09-06,2 wk ahead inc case,2021-09-18,51,quantile,0.25,13560.262451171875,22994.0
20,2021-09-06,2 wk ahead inc case,2021-09-18,51,quantile,0.5,17971.1171875,22994.0
22,2021-09-06,2 wk ahead inc case,2021-09-18,51,quantile,0.75,21627.16845703125,22994.0
24,2021-09-06,2 wk ahead inc case,2021-09-18,51,quantile,0.9,23528.396875,22994.0
26,2021-09-06,2 wk ahead inc case,2021-09-18,51,quantile,0.975,26752.894140624994,22994.0
28,2021-09-06,3 wk ahead inc case,2021-09-25,51,quantile,0.025,5254.366711425781,19500.0
29,2021-09-06,3 wk ahead inc case,2021-09-25,51,point,NA,20624.1728515625,19500.0
30,2021-09-06,3 wk ahead inc case,2021-09-25,51,quantile,0.1,10180.5591796875,19500.0
32,2021-09-06,3 wk ahead inc case,2021-09-25,51,quantile,0.25,15830.650390625,19500.0
34,2021-09-06,3 wk ahead inc case,2021-09-25,51,quantile,0.5,20624.1728515625,19500.0
36,2021-09-06,3 wk ahead inc case,2021-09-25,51,quantile,0.75,26115.2431640625,19500.0
38,2021-09-06,3 wk ahead inc case,2021-09-25,51,quantile,0.9,31685.408984375,19500.0
40,2021-09-06,3 wk ahead inc case,2021-09-25,51,quantile,0.975,32306.504980468748,19500.0
42,2021-09-06,4 wk ahead inc case,2021-10-02,51,quantile,0.025,5394.877722167968,18849.0
43,2021-09-06,4 wk ahead inc case,2021-10-02,51,point,NA,16368.1376953125,18849.0
44,2021-09-06,4 wk ahead inc case,2021-10-02,51,quantile,0.1,6006.631884765626,18849.0
46,2021-09-06,4 wk ahead inc case,2021-10-02,51,quantile,0.25,11008.37841796875,18849.0
48,2021-09-06,4 wk ahead inc case,2021-10-02,51,quantile,0.5,16368.1376953125,18849.0
50,2021-09-06,4 wk ahead inc case,2021-10-02,51,quantile,0.75,21576.2265625,18849.0
52,2021-09-06,4 wk ahead inc case,2021-10-02,51,quantile,0.9,26654.709375,18849.0
54,2021-09-06,4 wk ahead inc case,2021-10-02,51,quantile,0.975,27847.71728515625,18849.0
56,2021-09-06,1 wk ahead inc case,2021-09-11,45,quantile,0.025,5857.034313964844,35153.0
57,2021-09-06,1 wk ahead inc case,2021-09-11,45,point,NA,20380.1591796875,35153.0
58,2021-09-06,1 wk ahead inc case,2021-09-11,45,quantile,0.1,11184.02265625,35153.0
60,2021-09-06,1 wk ahead inc case,2021-09-11,45,quantile,0.25,16137.393798828125,35153.0
62,2021-09-06,1 wk ahead inc case,2021-09-11,45,quantile,0.5,20380.1591796875,35153.0
