,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2021-03-08,1 wk ahead inc case,2021-03-13,51,quantile,0.025,7006.099792480469,10371.0
1,2021-03-08,1 wk ahead inc case,2021-03-13,51,point,NA,8897.740234375,10371.0
2,2021-03-08,1 wk ahead inc case,2021-03-13,51,quantile,0.1,7202.99228515625,10371.0
4,2021-03-08,1 wk ahead inc case,2021-03-13,51,quantile,0.25,8589.602294921875,10371.0
6,2021-03-08,1 wk ahead inc case,2021-03-13,51,quantile,0.5,8897.740234375,10371.0
8,2021-03-08,1 wk ahead inc case,2021-03-13,51,quantile,0.75,10385.423828125,10371.0
10,2021-03-08,1 wk ahead inc case,2021-03-13,51,quantile,0.9,10425.3623046875,10371.0
12,2021-03-08,1 wk ahead inc case,2021-03-13,51,quantile,0.975,10463.1904296875,10371.0
14,2021-03-08,2 wk ahead inc case,2021-03-20,51,quantile,0.025,7071.757983398437,10284.0
15,2021-03-08,2 wk ahead inc case,2021-03-20,51,point,NA,9808.82861328125,10284.0
16,2021-03-08,2 wk ahead inc case,2021-03-20,51,quantile,0.1,8228.809228515625,10284.0
18,2021-03-08,2 wk ahead inc case,2021-03-20,51,quantile,0.25,8568.9775390625,10284.0
20,2021-03-08,2 wk ahead inc case,2021-03-20,51,quantile,0.5,9808.82861328125,10284.0
22,2021-03-08,2 wk ahead inc case,2021-03-20,51,quantile,0.75,10036.507080078125,10284.0
24,2021-03-08,2 wk ahead inc case,2021-03-20,51,quantile,0.9,10095.302734375,10284.0
26,2021-03-08,2 wk ahead inc case,2021-03-20,51,quantile,0.975,10126.249658203125,10284.0
28,2021-03-08,3 wk ahead inc case,2021-03-27,51,quantile,0.025,7010.912768554687,9997.0
29,2021-03-08,3 wk ahead inc case,2021-03-27,51,point,NA,8381.169921875,9997.0
30,2021-03-08,3 wk ahead inc case,2021-03-27,51,quantile,0.1,7945.1103515625,9997.0
