,forecast_date,target,target_end_date,location,type,quantile,value,truth
0,2021-02-22,1 wk ahead inc case,2021-02-27,51,quantile,0.025,1407.6834831871097,10357.0
1,2021-02-22,1 wk ahead inc case,2021-02-27,51,point,NA,20338.068359375,10357.0
2,2021-02-22,1 wk ahead inc case,2021-02-27,51,quantile,0.1,7481.998779296875,10357.0
4,2021-02-22,1 wk ahead inc case,2021-02-27,51,quantile,0.25,13282.9765625,10357.0
6,2021-02-22,1 wk ahead inc case,2021-02-27,51,quantile,0.5,20338.068359375,10357.0
8,2021-02-22,1 wk ahead inc case,2021-02-27,51,quantile,0.75,26774.4345703125,10357.0
10,2021-02-22,1 wk ahead inc case,2021-02-27,51,quantile,0.9,29774.4982421875,10357.0
12,2021-02-22,1 wk ahead inc case,2021-02-27,51,quantile,0.975,33509.726171875,10357.0
14,2021-02-22,2 wk ahead inc case,2021-03-06,51,quantile,0.025,6425.717456054688,9342.0
15,2021-02-22,2 wk ahead inc case,2021-03-06,51,point,NA,17194.1357421875,9342.0
16,2021-02-22,2 wk ahead inc case,2021-03-06,51,quantile,0.1,9463.08349609375,9342.0
18,2021-02-22,2 wk ahead inc case,2021-03-06,51,quantile,0.25,14625.0146484375,9342.0
20,2021-02-22,2 wk ahead inc case,2021-03-06,51,quantile,0.5,17194.1357421875,9342.0
22,2021-02-22,2 wk ahead inc case,2021-03-06,51,quantile,0.75,20932.8330078125,9342.0
24,2021-02-22,2 wk ahead inc case,2021-03-06,51,quantile,0.9,26835.026953125,9342.0
26,2021-02-22,2 wk ahead inc case,2021-03-06,51,quantile,0.975,29945.9140625,9342.0
28,2021-02-22,3 wk ahead inc case,2021-03-13,51,quantile,0.025,4154.057873535156,10371.0
29,2021-02-22,3 wk ahead inc case,2021-03-13,51,point,NA,11322.43505859375,10371.0
30,2021-02-22,3 wk ahead inc case,2021-03-13,51,quantile,0.1,6262.53583984375,10371.0
32,2021-02-22,3 wk ahead inc case,2021-03-13,51,quantile,0.25,8407.43115234375,10371.0
34,2021-02-22,3 wk ahead inc case,2021-03-13,51,quantile,0.5,11322.43505859375,10371.0
36,2021-02-22,3 wk ahead inc case,2021-03-13,51,quantile,0.75,14748.201904296875,10371.0
38,2021-02-22,3 wk ahead inc case,2021-03-13,51,quantile,0.9,17018.2115234375,10371.0
